dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,Base,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,0
Wine_Red,Base,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,0
Wine_Red,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,0
Wine_Red,Base,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,GS-0.85,RF,f1_macro,0.3852024597735231,0.03457449692135263,0.029821719211963138,0.083251953125,0
Wine_Red,GS-0.85,RF,gmean,0.12717161129726465,0.17566930833443295,0.04922766385028107,6.103515625e-05,0
Wine_Red,GS-0.85,RF,gmean_strict,0.09518959261235763,0.1907150320500447,0.0,0.10880943004054569,0
Wine_Red,GS-0.85,RF,mcc,0.459946038111229,0.04356472465017347,-0.045920827698089806,6.103515625e-05,0
Wine_Red,GS-0.85,RF,min_recall,0.19722222222222224,0.15772299518420432,0.125,0.007264382942252025,0
Wine_Red,GS-0.85,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Sgeo,RF,f1_macro,0.3801286208814467,0.0318896540654552,0.008313200816292499,0.207763671875,0
Wine_Red,Sgeo,RF,gmean,0.09805650108310325,0.14088929973834877,0.05183388185296406,6.103515625e-05,0
Wine_Red,Sgeo,RF,gmean_strict,0.060509503242365544,0.15429506438968715,0.0,0.17971249487899976,0
Wine_Red,Sgeo,RF,mcc,0.45261269157304707,0.03704724060626533,-0.056617886637926884,6.103515625e-05,0
Wine_Red,Sgeo,RF,min_recall,0.16944444444444443,0.12310288781200188,0.125,0.010909498364269283,0
Wine_Red,Sgeo,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Scf,RF,f1_macro,0.38846677828721327,0.029750902844840787,0.027168624415974674,0.01025390625,0
Wine_Red,Scf,RF,gmean,0.06819967479002338,0.11246688920533678,0.044077207186574305,6.103515625e-05,0
Wine_Red,Scf,RF,gmean_strict,0.03215470696399066,0.12031189683136716,0.0,0.31731050786291415,0
Wine_Red,Scf,RF,mcc,0.4701154721916571,0.03615326790050718,-0.03572908151958121,6.103515625e-05,0
Wine_Red,Scf,RF,min_recall,0.14166666666666666,0.097182531580755,0.125,0.010515245935858907,0
Wine_Red,Scf,RF,rare_recall,0.06666666666666667,0.16996731711975951,0.0,0.15729920705028502,0
Wine_Red,Sgate,RF,f1_macro,0.400553647470654,0.04497208513504008,0.02011657543568729,0.01507568359375,0
Wine_Red,Sgate,RF,gmean,0.09851647263721423,0.14835869066238264,0.04446407485318394,6.103515625e-05,0
Wine_Red,Sgate,RF,gmean_strict,0.06304698663716361,0.16113601584782253,0.0,0.17971249487899976,0
Wine_Red,Sgate,RF,mcc,0.472555736817699,0.0361987966456361,-0.03170343483292337,0.00018310546875,0
Wine_Red,Sgate,RF,min_recall,0.16666666666666663,0.1536590742882148,0.0,0.01755232593841686,0
Wine_Red,Sgate,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Sgeo-deep,RF,f1_macro,0.38584500919891596,0.032257519232015454,0.017489220534231353,0.072998046875,0
Wine_Red,Sgeo-deep,RF,gmean,0.1352161550702326,0.18092644079012227,0.05089664344252929,6.103515625e-05,0
Wine_Red,Sgeo-deep,RF,gmean_strict,0.0990107694025998,0.19827672543607497,0.0,0.10880943004054569,0
Wine_Red,Sgeo-deep,RF,mcc,0.4469732703255271,0.03082185982790159,-0.057444786907371925,6.103515625e-05,0
Wine_Red,Sgeo-deep,RF,min_recall,0.2111111111111111,0.18350160627681936,0.125,0.00736857462637493,0
Wine_Red,Sgeo-deep,RF,rare_recall,0.16666666666666666,0.2981423969999719,0.0,0.05878172135535886,0
Wine_Red,Scf-deep,RF,f1_macro,0.383178819111384,0.038877200196705514,0.01433551098381941,0.083251953125,0
Wine_Red,Scf-deep,RF,gmean,0.06639871328192598,0.11796055914060766,0.04550848228962588,0.0001220703125,0
Wine_Red,Scf-deep,RF,gmean_strict,0.033327637477476975,0.12470060095132575,0.0,0.31731050786291415,0
Wine_Red,Scf-deep,RF,mcc,0.46389333016798756,0.03187221890903426,-0.032016665684864054,0.0001220703125,0
Wine_Red,Scf-deep,RF,min_recall,0.12222222222222222,0.10808375810190954,0.0,0.025596805385948558,0
Wine_Red,Scf-deep,RF,rare_recall,0.06666666666666667,0.16996731711975951,0.0,0.15729920705028502,0
Wine_Red,Sgate-deep,RF,f1_macro,0.39147291406247925,0.031062665250729756,0.019450131453663144,0.012451171875,0
Wine_Red,Sgate-deep,RF,gmean,0.040593969008660226,0.02180306462804112,0.04709275973894285,6.103515625e-05,0
Wine_Red,Sgate-deep,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Sgate-deep,RF,mcc,0.4781640655877784,0.035060102686526116,-0.012544525393736128,0.0006103515625,0
Wine_Red,Sgate-deep,RF,min_recall,0.12222222222222222,0.0866915918573735,0.0,0.039359508888249725,0
Wine_Red,Sgate-deep,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Sgeo-75,RF,f1_macro,0.39502745121745453,0.04625498312355158,0.01767597092077655,0.0301513671875,0
Wine_Red,Sgeo-75,RF,gmean,0.0721786598868893,0.11809729767255425,0.046457796243628745,6.103515625e-05,0
Wine_Red,Sgeo-75,RF,gmean_strict,0.03376908190203355,0.12635233474331806,0.0,0.31731050786291415,0
Wine_Red,Sgeo-75,RF,mcc,0.47061674852910357,0.04890896561655789,-0.04326815796902744,0.00201416015625,0
Wine_Red,Sgeo-75,RF,min_recall,0.1611111111111111,0.12158927015688495,0.125,0.010320738885786614,0
Wine_Red,Sgeo-75,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Sgate-75,RF,f1_macro,0.39239363999055504,0.04121478115648468,0.02487099995006392,0.04791259765625,0
Wine_Red,Sgate-75,RF,gmean,0.06001927323517156,0.10287941953019052,0.039459395699562014,6.103515625e-05,0
Wine_Red,Sgate-75,RF,gmean_strict,0.02915033983144638,0.10907058435730203,0.0,0.31731050786291415,0
Wine_Red,Sgate-75,RF,mcc,0.47477586235878155,0.04526778618788828,-0.028643631459431496,0.0006103515625,0
Wine_Red,Sgate-75,RF,min_recall,0.11666666666666667,0.10992421631894099,0.0,0.06788915486182899,0
Wine_Red,Sgate-75,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_White,Base,RF,f1_macro,0.416745978236056,0.017867652323738464,0.0,1.0,0
Wine_White,Base,RF,gmean,0.011337535517248021,0.000751009525176913,0.0,1.0,0
Wine_White,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,mcc,0.5213086992904172,0.018528959164411538,0.0,1.0,0
Wine_White,Base,RF,min_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,GS-0.85,RF,f1_macro,0.40419389785699517,0.024085459017040088,-0.017940333892634053,0.03533935546875,0
Wine_White,GS-0.85,RF,gmean,0.08803203114818152,0.1413421748899938,0.06686141311434823,6.103515625e-05,0
Wine_White,GS-0.85,RF,gmean_strict,0.04023394413351284,0.1505416342662084,0.0,0.31731050786291415,0
Wine_White,GS-0.85,RF,mcc,0.4720041562352288,0.01912498462920299,-0.04964119985762461,6.103515625e-05,0
Wine_White,GS-0.85,RF,min_recall,0.125,0.18257418583505536,0.125,0.005000169055962822,0
Wine_White,GS-0.85,RF,rare_recall,0.06666666666666667,0.24944382578492943,0.0,0.31731050786291415,0
Wine_White,Sgeo,RF,f1_macro,0.4118631441652526,0.043209911057906045,-0.021400887829883586,0.22930908203125,0
Wine_White,Sgeo,RF,gmean,0.095565036230687,0.14602473815715414,0.06700857829199437,6.103515625e-05,0
Wine_White,Sgeo,RF,gmean_strict,0.04191729426751979,0.15684015372964244,0.0,0.31731050786291415,0
Wine_White,Sgeo,RF,mcc,0.4697778784445319,0.01815783954145485,-0.0527419910333532,6.103515625e-05,0
Wine_White,Sgeo,RF,min_recall,0.15833333333333333,0.20138409955990955,0.125,0.003603793264077752,0
Wine_White,Sgeo,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,Scf,RF,f1_macro,0.4329992018084404,0.041301605886242376,0.0072960585076956574,0.42120361328125,0
Wine_White,Scf,RF,gmean,0.09944923257194557,0.14361373875129002,0.0671930456421354,6.103515625e-05,0
Wine_White,Scf,RF,gmean_strict,0.04167619208120051,0.15593803195323352,0.0,0.31731050786291415,0
Wine_White,Scf,RF,mcc,0.486387872123237,0.018734712548714887,-0.0337826909821517,6.103515625e-05,0
Wine_White,Scf,RF,min_recall,0.175,0.19790570145063194,0.125,0.002524828778914855,0
Wine_White,Scf,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,Sgate,RF,f1_macro,0.4265382412533453,0.024331307681439162,0.011262302834707694,0.389404296875,0
Wine_White,Sgate,RF,gmean,0.09565503059956458,0.1317478180898495,0.06767591474371776,6.103515625e-05,0
Wine_White,Sgate,RF,gmean_strict,0.03840797839328248,0.14370949606627934,0.0,0.31731050786291415,0
Wine_White,Sgate,RF,mcc,0.49221572443326667,0.01665326581306648,-0.029071425823487373,6.103515625e-05,0
Wine_White,Sgate,RF,min_recall,0.14166666666666666,0.15046225071056488,0.125,0.0021721536873098523,0
Wine_White,Sgate,RF,rare_recall,0.06666666666666667,0.24944382578492946,0.0,0.31731050786291415,0
Wine_White,Sgeo-deep,RF,f1_macro,0.39943992852688054,0.027069252403924587,-0.02378598285420691,0.05535888671875,0
Wine_White,Sgeo-deep,RF,gmean,0.0954368810160526,0.14446182001061145,0.06809398971114093,6.103515625e-05,0
Wine_White,Sgeo-deep,RF,gmean_strict,0.04150369538079806,0.15529260839997858,0.0,0.31731050786291415,0
Wine_White,Sgeo-deep,RF,mcc,0.4615271871911163,0.01805833102122491,-0.05682658556538128,6.103515625e-05,0
Wine_White,Sgeo-deep,RF,min_recall,0.16666666666666666,0.20241596335818535,0.125,0.004092057759994976,0
Wine_White,Sgeo-deep,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,Scf-deep,RF,f1_macro,0.4133796655490079,0.01567007390928963,-0.011810768934905402,0.45428466796875,0
Wine_White,Scf-deep,RF,gmean,0.04034706959647324,0.03298233916012551,0.00199105189811603,6.103515625e-05,0
Wine_White,Scf-deep,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Scf-deep,RF,mcc,0.4874744482845393,0.01844435048574592,-0.03421519603099543,6.103515625e-05,0
Wine_White,Scf-deep,RF,min_recall,0.06666666666666667,0.08975274678557507,0.0,0.023140931308743732,0
Wine_White,Scf-deep,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,Sgate-deep,RF,f1_macro,0.43875683516263175,0.044703475528611356,0.006572521509955687,0.22930908203125,0
Wine_White,Sgate-deep,RF,gmean,0.13296251738047987,0.18725460767016727,0.0681609927799994,6.103515625e-05,0
Wine_White,Sgate-deep,RF,gmean_strict,0.08052400365430691,0.2054599979695035,0.0,0.17971249487899976,0
Wine_White,Sgate-deep,RF,mcc,0.4930790754297129,0.016246593092503994,-0.03198817284348704,6.103515625e-05,0
Wine_White,Sgate-deep,RF,min_recall,0.2,0.22730302828309762,0.125,0.0025380335550052734,0
Wine_White,Sgate-deep,RF,rare_recall,0.2,0.4000000000000001,0.0,0.0832645166635504,0
Wine_White,Sgeo-75,RF,f1_macro,0.40982300620500095,0.029358510567075082,-0.019656242412433744,0.359130859375,0
Wine_White,Sgeo-75,RF,gmean,0.08093088258867118,0.14842260978373606,0.0020998938187177917,6.103515625e-05,0
Wine_White,Sgeo-75,RF,gmean_strict,0.041538391655486,0.15542242997245828,0.0,0.31731050786291415,0
Wine_White,Sgeo-75,RF,mcc,0.47532686329852575,0.013671842484277425,-0.04438529513639922,6.103515625e-05,0
Wine_White,Sgeo-75,RF,min_recall,0.125,0.2091650066335189,0.0,0.014058605323737277,0
