dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
webpage_x,Base,RF,f1_macro,0.6377635642669741,0.08024013681055041,0.0,1.0,0
webpage_x,Base,RF,gmean,0.38753094380899294,0.18189427127824706,0.0,1.0,0
webpage_x,Base,RF,gmean_strict,0.38739761047565957,0.18217770554529758,0.0,1.0,0
webpage_x,Base,RF,mcc,0.3463470237923159,0.17089003843971817,0.0,1.0,0
webpage_x,Base,RF,min_recall,0.18333333333333332,0.11960583412006104,0.0,1.0,0
webpage_x,Base,RF,rare_recall,0.18333333333333332,0.11960583412006104,0.0,1.0,0
webpage_x,SMOTE,RF,f1_macro,0.6448469717110198,0.09322838311308376,0.0,0.6120898800892568,0
webpage_x,SMOTE,RF,gmean,0.40759436671148846,0.2050845530305181,0.0,0.49896229860376107,0
webpage_x,SMOTE,RF,gmean_strict,0.4074610333781551,0.20534900684381052,0.0,0.49896229860376107,0
webpage_x,SMOTE,RF,mcc,0.343450948758009,0.18956765014164287,0.0,0.7353166906373405,0
webpage_x,SMOTE,RF,min_recall,0.20833333333333334,0.15590239111558088,0.0,0.17971249487899976,0
webpage_x,SMOTE,RF,rare_recall,0.20833333333333334,0.15590239111558088,0.0,0.17971249487899976,0
webpage_x,SMOTE-ENN,RF,f1_macro,0.6415237731669657,0.08255353223112998,0.0,0.6778684441068372,0
webpage_x,SMOTE-ENN,RF,gmean,0.4098199652528888,0.20044435074800113,0.0,0.5139304151307518,0
webpage_x,SMOTE-ENN,RF,gmean_strict,0.40968663191955546,0.20071639683828532,0.0,0.5139304151307518,0
webpage_x,SMOTE-ENN,RF,mcc,0.33908670718555356,0.16708451948988737,0.0,0.7666990581557919,0
webpage_x,SMOTE-ENN,RF,min_recall,0.20833333333333334,0.14907119849998596,0.0,0.17971249487899976,0
webpage_x,SMOTE-ENN,RF,rare_recall,0.20833333333333334,0.14907119849998596,0.0,0.17971249487899976,0
webpage_x,SMOTE-IPF,RF,f1_macro,0.6448469717110198,0.09322838311308376,0.0,0.6120898800892568,0
webpage_x,SMOTE-IPF,RF,gmean,0.40759436671148846,0.2050845530305181,0.0,0.49896229860376107,0
webpage_x,SMOTE-IPF,RF,gmean_strict,0.4074610333781551,0.20534900684381052,0.0,0.49896229860376107,0
