dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
satimage,Base,RF,f1_macro,0.803677004936075,0.01894889661475355,0.0,1.0,0
satimage,Base,RF,gmean,0.7141382517513674,0.029779753403482732,0.0,1.0,0
satimage,Base,RF,gmean_strict,0.7141382517513674,0.029779753403482732,0.0,1.0,0
satimage,Base,RF,mcc,0.631428078204883,0.03443274701021246,0.0,1.0,0
satimage,Base,RF,min_recall,0.5164952380952382,0.04372798915291388,0.0,1.0,0
satimage,Base,RF,rare_recall,0.5164952380952382,0.04372798915291388,0.0,1.0,0
satimage,SMOTE,RF,f1_macro,0.8266948498907111,0.020163115572482085,0.02486714252709976,0.00152587890625,0
satimage,SMOTE,RF,gmean,0.8123812192441735,0.025540544847974415,0.09267561539791613,6.103515625e-05,0
satimage,SMOTE,RF,gmean_strict,0.8123812192441735,0.025540544847974415,0.09267561539791613,6.103515625e-05,0
satimage,SMOTE,RF,mcc,0.6540785338061099,0.04021735166714605,0.03464951385622084,0.02557373046875,0
satimage,SMOTE,RF,min_recall,0.6831576719576719,0.04208463857657358,0.15999999999999992,0.0006533107814151377,0
satimage,SMOTE,RF,rare_recall,0.6831576719576719,0.04208463857657358,0.15999999999999992,0.0006533107814151377,0
satimage,SMOTE-ENN,RF,f1_macro,0.7864916324431576,0.022008291529151954,-0.019016540126432058,0.01025390625,0
satimage,SMOTE-ENN,RF,gmean,0.8688347765853556,0.029646562659223698,0.15550003481443075,6.103515625e-05,0
satimage,SMOTE-ENN,RF,gmean_strict,0.8688347765853556,0.029646562659223698,0.15550003481443075,6.103515625e-05,0
satimage,SMOTE-ENN,RF,mcc,0.6000060900017493,0.04438840932656605,-0.0311686658417355,0.01806640625,0
satimage,SMOTE-ENN,RF,min_recall,0.8279746031746033,0.053343066887051364,0.31746031746031744,0.0006533107814151377,0
satimage,SMOTE-ENN,RF,rare_recall,0.8279746031746033,0.053343066887051364,0.31746031746031744,0.0006533107814151377,0
satimage,SMOTE-Tomek,RF,f1_macro,0.8271639094324339,0.02034661604903547,0.02486714252709976,0.00152587890625,0
satimage,SMOTE-Tomek,RF,gmean,0.8135465370224862,0.027039662434530695,0.09267561539791613,6.103515625e-05,0
satimage,SMOTE-Tomek,RF,gmean_strict,0.8135465370224862,0.027039662434530695,0.09267561539791613,6.103515625e-05,0
satimage,SMOTE-Tomek,RF,mcc,0.6549889772516152,0.040559031951858324,0.03464951385622084,0.02557373046875,0
satimage,SMOTE-Tomek,RF,min_recall,0.6852825396825396,0.044868790243915255,0.15999999999999992,0.0006533107814151377,0
satimage,SMOTE-Tomek,RF,rare_recall,0.6852825396825396,0.044868790243915255,0.15999999999999992,0.0006533107814151377,0
satimage,GS-0.85,RF,f1_macro,0.7975432464300483,0.016909042993327877,-0.011321396224686087,0.207763671875,0
satimage,GS-0.85,RF,gmean,0.8563171602199026,0.020149922996483008,0.13776055546722676,6.103515625e-05,0
satimage,GS-0.85,RF,gmean_strict,0.8563171602199026,0.020149922996483008,0.13776055546722676,6.103515625e-05,0
satimage,GS-0.85,RF,mcc,0.6110921805167009,0.03222236121204482,-0.02477467269534972,0.01806640625,0
satimage,GS-0.85,RF,min_recall,0.7906920634920634,0.03779250293250969,0.2698412698412699,0.0006533107814151377,0
satimage,GS-0.85,RF,rare_recall,0.7906920634920634,0.03779250293250969,0.2698412698412699,0.0006533107814151377,0
satimage,Sgeo,RF,f1_macro,0.7979925242277284,0.01946976337429728,-0.011650437617367282,0.25238037109375,0
satimage,Sgeo,RF,gmean,0.8666022246429617,0.02181601419015474,0.1516317480199968,6.103515625e-05,0
satimage,Sgeo,RF,gmean_strict,0.8666022246429617,0.02181601419015474,0.1516317480199968,6.103515625e-05,0
satimage,Sgeo,RF,mcc,0.6157921797586451,0.03720168531652915,-0.014601179741875803,0.05535888671875,0
satimage,Sgeo,RF,min_recall,0.8135746031746033,0.03880329775531535,0.30400000000000005,0.0006533107814151377,0
satimage,Sgeo,RF,rare_recall,0.8135746031746033,0.03880329775531535,0.30400000000000005,0.0006533107814151377,0
satimage,CC-SG,RF,f1_macro,0.8039710559493957,0.019526511882930073,-0.0038560219131973383,1.0,0
satimage,CC-SG,RF,gmean,0.848007782045716,0.02433330924446491,0.13057804263452577,6.103515625e-05,0
satimage,CC-SG,RF,gmean_strict,0.848007782045716,0.02433330924446491,0.13057804263452577,6.103515625e-05,0
satimage,CC-SG,RF,mcc,0.6185365627477182,0.03792769584215133,-0.018181118754741044,0.1353759765625,0
satimage,CC-SG,RF,min_recall,0.768351322751323,0.0438314728647517,0.25396825396825395,0.0006451158437926242,0
satimage,CC-SG,RF,rare_recall,0.768351322751323,0.0438314728647517,0.25396825396825395,0.0006451158437926242,0
sick_euthyroid,Base,RF,f1_macro,0.9281559637400396,0.017247556523809614,0.0,1.0,0
sick_euthyroid,Base,RF,gmean,0.9138529610194009,0.02626383282062528,0.0,1.0,0
sick_euthyroid,Base,RF,gmean_strict,0.9138529610194009,0.02626383282062528,0.0,1.0,0
sick_euthyroid,Base,RF,mcc,0.8577821177013636,0.033946157429923775,0.0,1.0,0
sick_euthyroid,Base,RF,min_recall,0.8443210598090783,0.049246521827196486,0.0,1.0,0
sick_euthyroid,Base,RF,rare_recall,0.8443210598090783,0.049246521827196486,0.0,1.0,0
sick_euthyroid,SMOTE,RF,f1_macro,0.9220989360386961,0.012520276878470646,-0.006656145379719036,0.1353759765625,0
sick_euthyroid,SMOTE,RF,gmean,0.9347910171920437,0.016702592815947045,0.021258805072107978,0.0001220703125,0
sick_euthyroid,SMOTE,RF,gmean_strict,0.9347910171920437,0.016702592815947045,0.021258805072107978,0.0001220703125,0
sick_euthyroid,SMOTE,RF,mcc,0.8454654080498566,0.024594514893062122,-0.011463709139210798,0.0946044921875,0
sick_euthyroid,SMOTE,RF,min_recall,0.8908435612702124,0.03327569780987359,0.05084745762711862,0.0006434854148379288,0
sick_euthyroid,SMOTE,RF,rare_recall,0.8908435612702124,0.03327569780987359,0.05084745762711862,0.0006434854148379288,0
sick_euthyroid,SMOTE-ENN,RF,f1_macro,0.8954399387640392,0.018220913559405028,-0.025555294467895173,0.0001220703125,0
sick_euthyroid,SMOTE-ENN,RF,gmean,0.9349251970065123,0.018994266142488617,0.018829518507634146,0.00030517578125,0
sick_euthyroid,SMOTE-ENN,RF,gmean_strict,0.9349251970065123,0.018994266142488617,0.018829518507634146,0.00030517578125,0
sick_euthyroid,SMOTE-ENN,RF,mcc,0.7973337414729346,0.033323361336306735,-0.05100408527661071,0.0001220703125,0
sick_euthyroid,SMOTE-ENN,RF,min_recall,0.9045587375803623,0.03891348817332929,0.051724137931034475,0.0006451158437926242,0
sick_euthyroid,SMOTE-ENN,RF,rare_recall,0.9045587375803623,0.03891348817332929,0.051724137931034475,0.0006451158437926242,0
sick_euthyroid,SMOTE-Tomek,RF,f1_macro,0.9261326113583188,0.013871342583959742,-0.0027908776904017607,0.5614013671875,0
sick_euthyroid,SMOTE-Tomek,RF,gmean,0.9360925796798953,0.02018975198836732,0.024657177634135663,0.0006103515625,0
sick_euthyroid,SMOTE-Tomek,RF,gmean_strict,0.9360925796798953,0.02018975198836732,0.024657177634135663,0.0006103515625,0
sick_euthyroid,SMOTE-Tomek,RF,mcc,0.8534567044334412,0.027241346411960056,-0.0042667299293526195,0.52447509765625,0
sick_euthyroid,SMOTE-Tomek,RF,min_recall,0.8919929865575686,0.03948282484082171,0.05084745762711873,0.0007935471687106394,0
sick_euthyroid,SMOTE-Tomek,RF,rare_recall,0.8919929865575686,0.03948282484082171,0.05084745762711873,0.0007935471687106394,0
sick_euthyroid,GS-0.85,RF,f1_macro,0.935118205726124,0.017602630907530645,0.010250254282393012,0.05462393825457164,0
sick_euthyroid,GS-0.85,RF,gmean,0.9304166500332128,0.021550631841631092,0.01785243482253529,0.007132413699395206,0
sick_euthyroid,GS-0.85,RF,gmean_strict,0.9304166500332128,0.021550631841631092,0.01785243482253529,0.007132413699395206,0
sick_euthyroid,GS-0.85,RF,mcc,0.8709981951200099,0.034734530304684944,0.019794044009230127,0.05462393825457164,0
sick_euthyroid,GS-0.85,RF,min_recall,0.8760374050263003,0.04050143525295358,0.03389830508474578,0.004341753952516261,0
sick_euthyroid,GS-0.85,RF,rare_recall,0.8760374050263003,0.04050143525295358,0.03389830508474578,0.004341753952516261,0
sick_euthyroid,Sgeo,RF,f1_macro,0.890783494165823,0.023242038828596486,-0.03575559460804878,6.103515625e-05,0
sick_euthyroid,Sgeo,RF,gmean,0.9302032615974739,0.023166547047789785,0.01478654875365415,0.0042724609375,0
sick_euthyroid,Sgeo,RF,gmean_strict,0.9302032615974739,0.023166547047789785,0.01478654875365415,0.0042724609375,0
sick_euthyroid,Sgeo,RF,mcc,0.7879393034350748,0.044613128561658236,-0.06400280113927836,6.103515625e-05,0
sick_euthyroid,Sgeo,RF,min_recall,0.8965712059224623,0.043966222686956984,0.051724137931034475,0.0006451158437926242,0
sick_euthyroid,Sgeo,RF,rare_recall,0.8965712059224623,0.043966222686956984,0.051724137931034475,0.0006451158437926242,0
sick_euthyroid,CC-SG,RF,f1_macro,0.92969709818395,0.017310731066420653,0.002327531284404216,0.7197265625,0
sick_euthyroid,CC-SG,RF,gmean,0.9373607040945313,0.020827428530968833,0.017051079934160773,6.103515625e-05,0
sick_euthyroid,CC-SG,RF,gmean_strict,0.9373607040945313,0.020827428530968833,0.017051079934160773,6.103515625e-05,0
sick_euthyroid,CC-SG,RF,mcc,0.8600879022229531,0.034442639197968375,-0.0009496818814155317,0.803955078125,0
sick_euthyroid,CC-SG,RF,min_recall,0.8930644847067993,0.03862989798532725,0.03448275862068961,0.0006402330973173942,0
sick_euthyroid,CC-SG,RF,rare_recall,0.8930644847067993,0.03862989798532725,0.03448275862068961,0.0006402330973173942,0
spectrometer,Base,RF,f1_macro,0.902978246307831,0.05077079065261642,0.0,1.0,0
spectrometer,Base,RF,gmean,0.8579214691093047,0.08775772372963427,0.0,1.0,0
spectrometer,Base,RF,gmean_strict,0.8579214691093047,0.08775772372963427,0.0,1.0,0
spectrometer,Base,RF,mcc,0.818728051690758,0.08855002113218488,0.0,1.0,0
spectrometer,Base,RF,min_recall,0.7481481481481481,0.14888704623882798,0.0,1.0,0
spectrometer,Base,RF,rare_recall,0.7481481481481481,0.14888704623882798,0.0,1.0,0
spectrometer,SMOTE,RF,f1_macro,0.9108168820829541,0.03783870578083256,0.0030694042211710793,0.421578895217645,0
spectrometer,SMOTE,RF,gmean,0.9094399773505034,0.06096417318468183,0.055679373982804536,0.027707849358079864,0
spectrometer,SMOTE,RF,gmean_strict,0.9094399773505034,0.06096417318468183,0.055679373982804536,0.027707849358079864,0
spectrometer,SMOTE,RF,mcc,0.8259758307973757,0.07442181594811569,0.005794051853622695,0.5067455281526702,0
spectrometer,SMOTE,RF,min_recall,0.8444444444444446,0.11331154474650632,0.11111111111111105,0.010069745065626336,0
spectrometer,SMOTE,RF,rare_recall,0.8444444444444446,0.11331154474650632,0.11111111111111105,0.010069745065626336,0
spectrometer,SMOTE-ENN,RF,f1_macro,0.8954616463578579,0.03590578417509013,-0.011679933753606209,0.5994873046875,0
spectrometer,SMOTE-ENN,RF,gmean,0.8948886224639989,0.07396858111546631,0.052022965165550605,0.1688232421875,0
spectrometer,SMOTE-ENN,RF,gmean_strict,0.8948886224639989,0.07396858111546631,0.052022965165550605,0.1688232421875,0
spectrometer,SMOTE-ENN,RF,mcc,0.7968075257388851,0.06714649465347906,-0.02043532069840437,0.5614013671875,0
spectrometer,SMOTE-ENN,RF,min_recall,0.8222222222222223,0.13333333333333333,0.11111111111111105,0.06417639475454485,0
spectrometer,SMOTE-ENN,RF,rare_recall,0.8222222222222223,0.13333333333333333,0.11111111111111105,0.06417639475454485,0
spectrometer,SMOTE-Tomek,RF,f1_macro,0.9040521144347902,0.03534524762519618,0.0,0.8067663226228976,0
spectrometer,SMOTE-Tomek,RF,gmean,0.9009006233263197,0.06247211171313169,0.055679373982804536,0.08686008151624075,0
spectrometer,SMOTE-Tomek,RF,gmean_strict,0.9009006233263197,0.06247211171313169,0.055679373982804536,0.08686008151624075,0
spectrometer,SMOTE-Tomek,RF,mcc,0.8126657824600382,0.06676170434414241,0.0,0.8613042569883052,0
spectrometer,SMOTE-Tomek,RF,min_recall,0.8296296296296297,0.11379475182027567,0.11111111111111105,0.043536522874285104,0
spectrometer,SMOTE-Tomek,RF,rare_recall,0.8296296296296297,0.11379475182027567,0.11111111111111105,0.043536522874285104,0
spectrometer,GS-0.85,RF,f1_macro,0.901756394956289,0.03486957877156928,0.00920821266351346,0.890380859375,0
spectrometer,GS-0.85,RF,gmean,0.9330958922500733,0.039320428803830534,0.060136851734240104,0.00262451171875,0
spectrometer,GS-0.85,RF,gmean_strict,0.9330958922500733,0.039320428803830534,0.060136851734240104,0.00262451171875,0
spectrometer,GS-0.85,RF,mcc,0.8090870789652425,0.06809278166617666,0.015262772540107772,0.76153564453125,0
spectrometer,GS-0.85,RF,min_recall,0.8962962962962965,0.07554102983100422,0.11111111111111116,0.0030123054507454855,0
spectrometer,GS-0.85,RF,rare_recall,0.8962962962962965,0.07554102983100422,0.11111111111111116,0.0030123054507454855,0
spectrometer,Sgeo,RF,f1_macro,0.8801910194957213,0.03188182709773512,-0.006892036002218216,0.13967601763991994,0
spectrometer,Sgeo,RF,gmean,0.9217038549170158,0.041058401278893646,0.052022965165550605,0.012435604238369457,0
spectrometer,Sgeo,RF,gmean_strict,0.9217038549170158,0.041058401278893646,0.052022965165550605,0.012435604238369457,0
spectrometer,Sgeo,RF,mcc,0.7678547428822053,0.06229236548996508,-0.025678016737876064,0.06084060818276912,0
spectrometer,Sgeo,RF,min_recall,0.8814814814814815,0.0755410298310042,0.11111111111111105,0.00913811775599642,0
spectrometer,Sgeo,RF,rare_recall,0.8814814814814815,0.0755410298310042,0.11111111111111105,0.00913811775599642,0
spectrometer,CC-SG,RF,f1_macro,0.9020943462803821,0.03939474162926616,0.012393707482993177,0.93408203125,0
spectrometer,CC-SG,RF,gmean,0.9260215152710454,0.046571179881003795,0.057190958417936644,0.01025390625,0
spectrometer,CC-SG,RF,gmean_strict,0.9260215152710454,0.046571179881003795,0.057190958417936644,0.01025390625,0
spectrometer,CC-SG,RF,mcc,0.8095801117605471,0.07723127834254763,0.015262772540107772,0.67877197265625,0
spectrometer,CC-SG,RF,min_recall,0.8814814814814816,0.08574694002066834,0.11111111111111116,0.008136777252579514,0
spectrometer,CC-SG,RF,rare_recall,0.8814814814814816,0.08574694002066834,0.11111111111111116,0.008136777252579514,0
car_eval_34,Base,RF,f1_macro,0.9384327578516556,0.020716974926211214,0.0,1.0,0
car_eval_34,Base,RF,gmean,0.922690355869693,0.036108506620155204,0.0,1.0,0
car_eval_34,Base,RF,gmean_strict,0.922690355869693,0.036108506620155204,0.0,1.0,0
car_eval_34,Base,RF,mcc,0.8787557284296245,0.04098924765187345,0.0,1.0,0
car_eval_34,Base,RF,min_recall,0.858309591642925,0.06813201671143787,0.0,1.0,0
car_eval_34,Base,RF,rare_recall,0.858309591642925,0.06813201671143787,0.0,1.0,0
car_eval_34,SMOTE,RF,f1_macro,0.952776666180446,0.01569584235156201,0.013590722808214273,0.04639946187090464,0
car_eval_34,SMOTE,RF,gmean,0.9528607162166662,0.024866551143138904,0.03859390172797983,0.02312980249735946,0
car_eval_34,SMOTE,RF,gmean_strict,0.9528607162166662,0.024866551143138904,0.03859390172797983,0.02312980249735946,0
car_eval_34,SMOTE,RF,mcc,0.9061439189179858,0.03125156222055318,0.02405538735874191,0.04639946187090464,0
car_eval_34,SMOTE,RF,min_recall,0.9154795821462488,0.04779668716379004,0.07407407407407407,0.02769448266618285,0
car_eval_34,SMOTE,RF,rare_recall,0.9154795821462488,0.04779668716379004,0.07407407407407407,0.02769448266618285,0
car_eval_34,SMOTE-ENN,RF,f1_macro,0.9509023265373546,0.013148097061055393,0.008216898066489065,0.02154541015625,0
car_eval_34,SMOTE-ENN,RF,gmean,0.9871500314572831,0.010425671359581657,0.07073258175970731,6.103515625e-05,0
car_eval_34,SMOTE-ENN,RF,gmean_strict,0.9871500314572831,0.010425671359581657,0.07073258175970731,6.103515625e-05,0
car_eval_34,SMOTE-ENN,RF,mcc,0.9057700022299773,0.02466688095452785,0.019974034176187372,0.02154541015625,0
car_eval_34,SMOTE-ENN,RF,min_recall,0.9901234567901234,0.021240309301339827,0.14814814814814814,0.0006305443037266362,0
car_eval_34,SMOTE-ENN,RF,rare_recall,0.9901234567901234,0.021240309301339827,0.14814814814814814,0.0006305443037266362,0
car_eval_34,SMOTE-Tomek,RF,f1_macro,0.952776666180446,0.01569584235156201,0.013590722808214273,0.04639946187090464,0
car_eval_34,SMOTE-Tomek,RF,gmean,0.9528607162166662,0.024866551143138904,0.03859390172797983,0.02312980249735946,0
car_eval_34,SMOTE-Tomek,RF,gmean_strict,0.9528607162166662,0.024866551143138904,0.03859390172797983,0.02312980249735946,0
car_eval_34,SMOTE-Tomek,RF,mcc,0.9061439189179858,0.03125156222055318,0.02405538735874191,0.04639946187090464,0
car_eval_34,SMOTE-Tomek,RF,min_recall,0.9154795821462488,0.04779668716379004,0.07407407407407407,0.02769448266618285,0
car_eval_34,SMOTE-Tomek,RF,rare_recall,0.9154795821462488,0.04779668716379004,0.07407407407407407,0.02769448266618285,0
car_eval_34,GS-0.85,RF,f1_macro,0.9394103598381562,0.02030658749746698,-0.0013128934729456088,0.8752911852109797,0
car_eval_34,GS-0.85,RF,gmean,0.9227753967271899,0.03954348090306365,-0.0028881271006392373,0.9749599188317098,0
car_eval_34,GS-0.85,RF,gmean_strict,0.9227753967271899,0.03954348090306365,-0.0028881271006392373,0.9749599188317098,0
car_eval_34,GS-0.85,RF,mcc,0.8810840886546881,0.03903173649067688,-0.0002300762731316519,0.8752911852109797,0
car_eval_34,GS-0.85,RF,min_recall,0.8584045584045585,0.07428889880461358,0.0,0.8599865701119168,0
car_eval_34,GS-0.85,RF,rare_recall,0.8584045584045585,0.07428889880461358,0.0,0.8599865701119168,0
car_eval_34,Sgeo,RF,f1_macro,0.9616800655880134,0.019816769216460684,0.024691085901630716,0.00201416015625,0
car_eval_34,Sgeo,RF,gmean,0.9775696403451567,0.024629511597336635,0.060700753943486285,0.0001220703125,0
car_eval_34,Sgeo,RF,gmean_strict,0.9775696403451567,0.024629511597336635,0.060700753943486285,0.0001220703125,0
car_eval_34,Sgeo,RF,mcc,0.9247965066011908,0.03929791662059168,0.04644589577268721,0.00201416015625,0
car_eval_34,Sgeo,RF,min_recall,0.9653371320037987,0.04775704613762093,0.11111111111111116,0.0009534539159260612,0
car_eval_34,Sgeo,RF,rare_recall,0.9653371320037987,0.04775704613762093,0.11111111111111116,0.0009534539159260612,0
car_eval_34,CC-SG,RF,f1_macro,0.962373019535822,0.01737073401466649,0.020742363374113615,0.0006103515625,0
car_eval_34,CC-SG,RF,gmean,0.9788904243843526,0.019727617330698107,0.05662119595865245,0.0001220703125,0
car_eval_34,CC-SG,RF,gmean_strict,0.9788904243843526,0.019727617330698107,0.05662119595865245,0.0001220703125,0
car_eval_34,CC-SG,RF,mcc,0.9259869113942933,0.034269501636670856,0.042215423059800306,0.0006103515625,0
car_eval_34,CC-SG,RF,min_recall,0.9677113010446344,0.0381478065310583,0.11111111111111116,0.0009590273513470204,0
car_eval_34,CC-SG,RF,rare_recall,0.9677113010446344,0.0381478065310583,0.11111111111111116,0.0009590273513470204,0
libras_move,Base,RF,f1_macro,0.7652016536241731,0.14325715403678832,0.0,1.0,0
libras_move,Base,RF,gmean,0.5940004314604058,0.2717172932016876,0.0,1.0,0
libras_move,Base,RF,gmean_strict,0.5938670981270724,0.2720083388956979,0.0,1.0,0
libras_move,Base,RF,mcc,0.5842318685005932,0.2696098747585754,0.0,1.0,0
libras_move,Base,RF,min_recall,0.42666666666666675,0.24890872936792627,0.0,1.0,0
libras_move,Base,RF,rare_recall,0.42666666666666675,0.24890872936792627,0.0,1.0,0
libras_move,SMOTE,RF,f1_macro,0.9223231328822094,0.062011833931985345,0.1177719328280391,0.0009730565294466852,0
libras_move,SMOTE,RF,gmean,0.8821379847438837,0.09749483039298774,0.2254033307585166,0.0009730565294466852,0
libras_move,SMOTE,RF,gmean_strict,0.8821379847438837,0.09749483039298774,0.2254033307585166,0.0009730565294466852,0
libras_move,SMOTE,RF,mcc,0.8555804291787176,0.1107895913035111,0.16632011750259412,0.0009730565294466852,0
libras_move,SMOTE,RF,min_recall,0.7899999999999999,0.16451950239004087,0.39999999999999997,0.0009590273513470204,0
libras_move,SMOTE,RF,rare_recall,0.7899999999999999,0.16451950239004087,0.39999999999999997,0.0009590273513470204,0
libras_move,SMOTE-ENN,RF,f1_macro,0.8938158567666685,0.062490881488095056,0.09883483701319307,0.0028648155524898344,0
libras_move,SMOTE-ENN,RF,gmean,0.8938512879198989,0.10228453253588031,0.24852085980953054,0.0009815397525216685,0
libras_move,SMOTE-ENN,RF,gmean_strict,0.8938512879198989,0.10228453253588031,0.24852085980953054,0.0009815397525216685,0
libras_move,SMOTE-ENN,RF,mcc,0.8002686219160371,0.11595141588255983,0.1627949011839256,0.0042856952994814864,0
libras_move,SMOTE-ENN,RF,min_recall,0.8233333333333334,0.17782638224465516,0.4,0.0009618222539686676,0
libras_move,SMOTE-ENN,RF,rare_recall,0.8233333333333334,0.17782638224465516,0.4,0.0009618222539686676,0
libras_move,SMOTE-Tomek,RF,f1_macro,0.9223231328822094,0.062011833931985345,0.1177719328280391,0.0009730565294466852,0
libras_move,SMOTE-Tomek,RF,gmean,0.8821379847438837,0.09749483039298774,0.2254033307585166,0.0009730565294466852,0
libras_move,SMOTE-Tomek,RF,gmean_strict,0.8821379847438837,0.09749483039298774,0.2254033307585166,0.0009730565294466852,0
libras_move,SMOTE-Tomek,RF,mcc,0.8555804291787176,0.1107895913035111,0.16632011750259412,0.0009730565294466852,0
libras_move,SMOTE-Tomek,RF,min_recall,0.7899999999999999,0.16451950239004087,0.39999999999999997,0.0009590273513470204,0
libras_move,SMOTE-Tomek,RF,rare_recall,0.7899999999999999,0.16451950239004087,0.39999999999999997,0.0009590273513470204,0
libras_move,GS-0.85,RF,f1_macro,0.918724738964583,0.06126194187328904,0.13235294117647056,0.0009815397525216685,0
libras_move,GS-0.85,RF,gmean,0.9126655627693071,0.08564008938672843,0.24852085980953054,0.0009815397525216685,0
libras_move,GS-0.85,RF,gmean_strict,0.9126655627693071,0.08564008938672843,0.24852085980953054,0.0009815397525216685,0
libras_move,GS-0.85,RF,mcc,0.8470340199279698,0.11662544645061516,0.21487228299936723,0.0009815397525216685,0
libras_move,GS-0.85,RF,min_recall,0.85,0.1559914527573012,0.4,0.0009618222539686676,0
libras_move,GS-0.85,RF,rare_recall,0.85,0.1559914527573012,0.4,0.0009618222539686676,0
libras_move,Sgeo,RF,f1_macro,0.904296871567454,0.05618401135514682,0.11465378421900152,0.0015191855658097234,0
libras_move,Sgeo,RF,gmean,0.939256930020416,0.0667186623088557,0.2855130441479351,0.0009787065253170552,0
libras_move,Sgeo,RF,gmean_strict,0.939256930020416,0.0667186623088557,0.2855130441479351,0.0009787065253170552,0
libras_move,Sgeo,RF,mcc,0.819756407976613,0.10486830925236372,0.16438382455244416,0.0015191855658097234,0
libras_move,Sgeo,RF,min_recall,0.9066666666666667,0.12364824660660936,0.5,0.0009590273513470204,0
libras_move,Sgeo,RF,rare_recall,0.9066666666666667,0.12364824660660936,0.5,0.0009590273513470204,0
libras_move,CC-SG,RF,f1_macro,0.9108071132969915,0.07148089290499555,0.13235294117647056,0.0009815397525216685,0
libras_move,CC-SG,RF,gmean,0.894832634192446,0.10410953087763301,0.24852085980953054,0.0009815397525216685,0
