dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
syn_ir100_easy,Base,RF,f1_macro,0.989046199152544,0.01551745919861956,0.0,1.0,0
syn_ir100_easy,Base,RF,gmean,0.9827354794226185,0.028536131786381817,0.0,1.0,0
syn_ir100_easy,Base,RF,gmean_strict,0.9827354794226185,0.028536131786381817,0.0,1.0,0
syn_ir100_easy,Base,RF,mcc,0.978769376178457,0.030073092656486788,0.0,1.0,0
syn_ir100_easy,Base,RF,min_recall,0.9666666666666667,0.05527707983925667,0.0,1.0,0
syn_ir100_easy,Base,RF,rare_recall,0.9666666666666667,0.05527707983925667,0.0,1.0,0
syn_ir100_easy,SMOTE,RF,f1_macro,0.9833463992263618,0.02892139556836919,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE,RF,gmean,0.9688993705364535,0.05385792829965709,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE,RF,gmean_strict,0.9688993705364535,0.05385792829965709,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE,RF,mcc,0.9686443301948569,0.054294914821696884,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE,RF,min_recall,0.9416666666666667,0.10069204977995477,0.0,0.0832645166635504,0
syn_ir100_easy,SMOTE,RF,rare_recall,0.9416666666666667,0.10069204977995477,0.0,0.0832645166635504,0
syn_ir100_easy,SMOTE-ENN,RF,f1_macro,0.9833463992263618,0.02892139556836919,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-ENN,RF,gmean,0.9688993705364535,0.05385792829965709,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-ENN,RF,gmean_strict,0.9688993705364535,0.05385792829965709,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-ENN,RF,mcc,0.9686443301948569,0.054294914821696884,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-ENN,RF,min_recall,0.9416666666666667,0.10069204977995477,0.0,0.0832645166635504,0
syn_ir100_easy,SMOTE-ENN,RF,rare_recall,0.9416666666666667,0.10069204977995477,0.0,0.0832645166635504,0
syn_ir100_easy,SMOTE-IPF,RF,f1_macro,0.9833463992263618,0.02892139556836919,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-IPF,RF,gmean,0.9688993705364535,0.05385792829965709,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-IPF,RF,gmean_strict,0.9688993705364535,0.05385792829965709,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-IPF,RF,mcc,0.9686443301948569,0.054294914821696884,0.0,0.13057001811573618,0
syn_ir100_easy,SMOTE-IPF,RF,min_recall,0.9416666666666667,0.10069204977995477,0.0,0.0832645166635504,0
syn_ir100_easy,SMOTE-IPF,RF,rare_recall,0.9416666666666667,0.10069204977995477,0.0,0.0832645166635504,0
syn_ir100_easy,MWMOTE,RF,f1_macro,0.9881499186366228,0.025045121903473258,0.0,0.4614509878333607,0
syn_ir100_easy,MWMOTE,RF,gmean,0.9778310102841576,0.046688849418219575,0.0,0.4614509878333607,0
syn_ir100_easy,MWMOTE,RF,gmean_strict,0.9778310102841576,0.046688849418219575,0.0,0.4614509878333607,0
syn_ir100_easy,MWMOTE,RF,mcc,0.9776480036910342,0.04706922581732084,0.0,0.4614509878333607,0
syn_ir100_easy,MWMOTE,RF,min_recall,0.9583333333333334,0.08740073734751262,0.0,0.5637028616507731,0
syn_ir100_easy,MWMOTE,RF,rare_recall,0.9583333333333334,0.08740073734751262,0.0,0.5637028616507731,0
syn_ir100_easy,VAE,RF,f1_macro,0.8649790139954685,0.06059418510266058,-0.12464656526955309,0.0006500242387180628,0
syn_ir100_easy,VAE,RF,gmean,0.9917833700912534,0.016173439453902167,-0.0031298981311557172,0.569827428596361,0
syn_ir100_easy,VAE,RF,gmean_strict,0.9917833700912534,0.016173439453902167,-0.0031298981311557172,0.569827428596361,0
syn_ir100_easy,VAE,RF,mcc,0.760072447244459,0.10043471056524661,-0.21799075354669784,0.0006500242387180628,0
syn_ir100_easy,VAE,RF,min_recall,0.9916666666666667,0.031180478223116172,0.0,0.17971249487899976,0
syn_ir100_easy,VAE,RF,rare_recall,0.9916666666666667,0.031180478223116172,0.0,0.17971249487899976,0
syn_ir100_easy,GS-0.85,RF,f1_macro,0.9940551079718941,0.011889784056211637,0.0,0.13162821884536147,0
syn_ir100_easy,GS-0.85,RF,gmean,0.9998749609130669,0.0002500781738663082,0.0,0.13162821884536147,0
syn_ir100_easy,GS-0.85,RF,gmean_strict,0.9998749609130669,0.0002500781738663082,0.0,0.13162821884536147,0
syn_ir100_easy,GS-0.85,RF,mcc,0.988443920334701,0.02311215933059816,0.0,0.13162821884536147,0
syn_ir100_easy,GS-0.85,RF,min_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,GS-0.85,RF,rare_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,Sgeo,RF,f1_macro,0.9582655942069813,0.033585118703406136,-0.029724460140529096,0.018674617381796262,0
syn_ir100_easy,Sgeo,RF,gmean,0.9990408708372555,0.0008195914054589808,-0.0006251954346657707,0.9719968677847196,0
syn_ir100_easy,Sgeo,RF,gmean_strict,0.9990408708372555,0.0008195914054589808,-0.0006251954346657707,0.9719968677847196,0
syn_ir100_easy,Sgeo,RF,mcc,0.9214813438245789,0.06186287366531318,-0.0577803983264954,0.018674617381796262,0
syn_ir100_easy,Sgeo,RF,min_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,Sgeo,RF,rare_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,CC-SG,RF,f1_macro,0.9830022794745934,0.024136490866703535,0.0,0.7962534147376392,0
syn_ir100_easy,CC-SG,RF,gmean,0.9996247783278069,0.0005500482552184421,0.0,0.5020185349191402,0
syn_ir100_easy,CC-SG,RF,gmean_strict,0.9996247783278069,0.0005500482552184421,0.0,0.5020185349191402,0
syn_ir100_easy,CC-SG,RF,mcc,0.9675592814815996,0.04552809970317319,0.0,0.7962534147376392,0
syn_ir100_easy,CC-SG,RF,min_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,CC-SG,RF,rare_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,CC-strict,RF,f1_macro,0.9830022794745934,0.024136490866703535,0.0,0.7962534147376392,0
syn_ir100_easy,CC-strict,RF,gmean,0.9996247783278069,0.0005500482552184421,0.0,0.5020185349191402,0
syn_ir100_easy,CC-strict,RF,gmean_strict,0.9996247783278069,0.0005500482552184421,0.0,0.5020185349191402,0
syn_ir100_easy,CC-strict,RF,mcc,0.9675592814815996,0.04552809970317319,0.0,0.7962534147376392,0
syn_ir100_easy,CC-strict,RF,min_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_easy,CC-strict,RF,rare_recall,1.0,0.0,0.0,0.0455002638963584,0
syn_ir100_med,Base,RF,f1_macro,0.5123685314009363,0.03787575555556237,0.0,1.0,0
syn_ir100_med,Base,RF,gmean,0.048007118745769836,0.11984510788122678,0.0,1.0,0
syn_ir100_med,Base,RF,gmean_strict,0.047140452079103175,0.12018504251546633,0.0,1.0,0
syn_ir100_med,Base,RF,mcc,0.04693555625391753,0.11966265861002867,0.0,1.0,0
syn_ir100_med,Base,RF,min_recall,0.016666666666666666,0.04249182927993988,0.0,1.0,0
syn_ir100_med,Base,RF,rare_recall,0.016666666666666666,0.04249182927993988,0.0,1.0,0
syn_ir100_med,SMOTE,RF,f1_macro,0.5872281587030714,0.07648279231167306,0.07017081526556618,0.019728824598012513,0
syn_ir100_med,SMOTE,RF,gmean,0.3488190632890867,0.24565496043459856,0.3514468044967921,0.019728824598012513,0
syn_ir100_med,SMOTE,RF,gmean_strict,0.348553147719454,0.24603157632343425,0.3524468044967921,0.011898918347256152,0
syn_ir100_med,SMOTE,RF,mcc,0.1771869779459476,0.15675796094024208,0.13694960877991183,0.06058042091543928,0
syn_ir100_med,SMOTE,RF,min_recall,0.18333333333333332,0.1874536979866999,0.125,0.006773856092692343,0
syn_ir100_med,SMOTE,RF,rare_recall,0.18333333333333332,0.1874536979866999,0.125,0.006773856092692343,0
syn_ir100_med,SMOTE-ENN,RF,f1_macro,0.5964894017165947,0.045735838336471615,0.08775047994883572,0.0017815591405881395,0
syn_ir100_med,SMOTE-ENN,RF,gmean,0.4757238957000729,0.14339377622458457,0.4952358310319802,0.001203558952489263,0
syn_ir100_med,SMOTE-ENN,RF,gmean_strict,0.4757238957000729,0.14339377622458457,0.4962358310319802,0.001203558952489263,0
syn_ir100_med,SMOTE-ENN,RF,mcc,0.2000611775008417,0.1001983371039641,0.17831323543593192,0.017036420262282727,0
syn_ir100_med,SMOTE-ENN,RF,min_recall,0.25,0.16457014715109583,0.25,0.0013120923163894367,0
syn_ir100_med,SMOTE-ENN,RF,rare_recall,0.25,0.16457014715109583,0.25,0.0013120923163894367,0
syn_ir100_med,SMOTE-IPF,RF,f1_macro,0.5872281587030714,0.07648279231167306,0.07017081526556618,0.019728824598012513,0
syn_ir100_med,SMOTE-IPF,RF,gmean,0.3488190632890867,0.24565496043459856,0.3514468044967921,0.019728824598012513,0
syn_ir100_med,SMOTE-IPF,RF,gmean_strict,0.348553147719454,0.24603157632343425,0.3524468044967921,0.011898918347256152,0
syn_ir100_med,SMOTE-IPF,RF,mcc,0.1771869779459476,0.15675796094024208,0.13694960877991183,0.06058042091543928,0
syn_ir100_med,SMOTE-IPF,RF,min_recall,0.18333333333333332,0.1874536979866999,0.125,0.006773856092692343,0
syn_ir100_med,SMOTE-IPF,RF,rare_recall,0.18333333333333332,0.1874536979866999,0.125,0.006773856092692343,0
syn_ir100_med,MWMOTE,RF,f1_macro,0.5933027727718941,0.09876063535804498,0.07597957236228753,0.04669349361650898,0
syn_ir100_med,MWMOTE,RF,gmean,0.3087563278960893,0.2500480526834578,0.3516683994916471,0.04669349361650898,0
syn_ir100_med,MWMOTE,RF,gmean_strict,0.3084236620126649,0.25045760395197453,0.3526683994916471,0.02060658406771657,0
syn_ir100_med,MWMOTE,RF,mcc,0.19647557470841728,0.20194456003470623,0.15150552065696887,0.08820990260785352,0
syn_ir100_med,MWMOTE,RF,min_recall,0.15833333333333333,0.1852175897574406,0.125,0.01085324680751466,0
syn_ir100_med,MWMOTE,RF,rare_recall,0.15833333333333333,0.1852175897574406,0.125,0.01085324680751466,0
syn_ir100_med,VAE,RF,f1_macro,0.5837190976041119,0.03340571314396437,0.07632722463631209,0.0026055629474458766,0
syn_ir100_med,VAE,RF,gmean,0.6452106362632556,0.10295177602206944,0.6017281725620597,0.0006533107814151377,0
syn_ir100_med,VAE,RF,gmean_strict,0.6452106362632556,0.10295177602206944,0.6027281725620597,0.0006533107814151377,0
syn_ir100_med,VAE,RF,mcc,0.21488318213523622,0.0752816196039661,0.18608286192401358,0.0053763555368267985,0
syn_ir100_med,VAE,RF,min_recall,0.44166666666666665,0.1359125535858341,0.375,0.0005805787842419943,0
syn_ir100_med,VAE,RF,rare_recall,0.44166666666666665,0.1359125535858341,0.375,0.0005805787842419943,0
syn_ir100_med,GS-0.85,RF,f1_macro,0.6093726595558077,0.02197770473287185,0.1140260237275163,0.00030517578125,0
syn_ir100_med,GS-0.85,RF,gmean,0.8654974008399733,0.07244019928592196,0.9095286925737157,6.103515625e-05,0
syn_ir100_med,GS-0.85,RF,gmean_strict,0.8654974008399733,0.07244019928592196,0.9105286925737157,6.103515625e-05,0
syn_ir100_med,GS-0.85,RF,mcc,0.32508159855134466,0.05674762094938118,0.34119838406109504,0.00030517578125,0
syn_ir100_med,GS-0.85,RF,min_recall,0.7916666666666666,0.12638125740085915,0.875,0.000555186890577952,0
syn_ir100_med,GS-0.85,RF,rare_recall,0.7916666666666666,0.12638125740085915,0.875,0.000555186890577952,0
syn_ir100_med,Sgeo,RF,f1_macro,0.6032680450911302,0.02224062756453468,0.10257930641580787,0.000803313257091444,0
syn_ir100_med,Sgeo,RF,gmean,0.8155990921747779,0.06060627726298796,0.8430971508067066,0.0006533107814151377,0
syn_ir100_med,Sgeo,RF,gmean_strict,0.8155990921747779,0.06060627726298796,0.8440971508067066,0.0006533107814151377,0
syn_ir100_med,Sgeo,RF,mcc,0.29735556704806804,0.04916129931979579,0.2991104770563539,0.001203558952489263,0
syn_ir100_med,Sgeo,RF,min_recall,0.7,0.1,0.75,0.0005150696089871801,0
syn_ir100_med,Sgeo,RF,rare_recall,0.7,0.1,0.75,0.0005150696089871801,0
syn_ir100_med,CC-SG,RF,f1_macro,0.6401715549101622,0.03364977948974914,0.16155929214686066,0.0009824399697558976,0
syn_ir100_med,CC-SG,RF,gmean,0.7844185837253135,0.09475838840461563,0.7811245105480329,0.0006516660806139112,0
syn_ir100_med,CC-SG,RF,gmean_strict,0.7844185837253135,0.09475838840461563,0.7821245105480329,0.0006516660806139112,0
syn_ir100_med,CC-SG,RF,mcc,0.34047171461564435,0.07658911375256697,0.36730303535082853,0.0012008058269596244,0
syn_ir100_med,CC-SG,RF,min_recall,0.6416666666666667,0.1359125535858341,0.625,0.0005464129582570524,0
syn_ir100_med,CC-SG,RF,rare_recall,0.6416666666666667,0.1359125535858341,0.625,0.0005464129582570524,0
syn_ir100_med,CC-strict,RF,f1_macro,0.636518940291727,0.02755775469644173,0.1477731580136487,0.0009847668593688057,0
syn_ir100_med,CC-strict,RF,gmean,0.8151771911151261,0.07649006745314406,0.8513863560616161,0.0006533107814151377,0
syn_ir100_med,CC-strict,RF,gmean_strict,0.8151771911151261,0.07649006745314406,0.8523863560616161,0.0006533107814151377,0
syn_ir100_med,CC-strict,RF,mcc,0.34533418640258723,0.06446733639499895,0.3704899983477855,0.001203558952489263,0
syn_ir100_med,CC-strict,RF,min_recall,0.6916666666666667,0.11960583412006105,0.75,0.0005122841326641162,0
syn_ir100_med,CC-strict,RF,rare_recall,0.6916666666666667,0.11960583412006105,0.75,0.0005122841326641162,0
syn_ir100_hard,Base,RF,f1_macro,0.4975124378109453,0.0,0.0,1.0,0
syn_ir100_hard,Base,RF,gmean,0.0010000000000000005,2.168404344971009e-19,0.0,1.0,0
syn_ir100_hard,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
syn_ir100_hard,Base,RF,mcc,0.0,0.0,0.0,1.0,0
syn_ir100_hard,Base,RF,min_recall,0.0,0.0,0.0,1.0,0
syn_ir100_hard,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
syn_ir100_hard,SMOTE,RF,f1_macro,0.5097688807082964,0.028317376134207827,-0.001253086189997643,0.3056469920650897,0
syn_ir100_hard,SMOTE,RF,gmean,0.07124238783552972,0.14049134199477198,-2.503132837000134e-06,0.3056469920650897,0
syn_ir100_hard,SMOTE,RF,gmean_strict,0.07044489285986665,0.14089008861506871,0.0,0.10880943004054569,0
syn_ir100_hard,SMOTE,RF,mcc,0.020831635656603766,0.058589183221937055,-0.0070534561585859825,0.3056469920650897,0
syn_ir100_hard,SMOTE,RF,min_recall,0.025,0.05000000000000001,0.0,0.0832645166635504,0
syn_ir100_hard,SMOTE,RF,rare_recall,0.025,0.05000000000000001,0.0,0.0832645166635504,0
syn_ir100_hard,SMOTE-ENN,RF,f1_macro,0.5099271074918654,0.022599035977544646,-0.0018819758883485416,0.7763371993702398,0
syn_ir100_hard,SMOTE-ENN,RF,gmean,0.11758151817412953,0.1648807490800554,-3.757057741436481e-06,0.7763371993702398,0
syn_ir100_hard,SMOTE-ENN,RF,gmean_strict,0.11691911819633632,0.16534913506534532,0.0,0.043114446783075355,0
syn_ir100_hard,SMOTE-ENN,RF,mcc,0.021390256222119076,0.0464899863843465,-0.00864944897557338,0.7763371993702398,0
syn_ir100_hard,SMOTE-ENN,RF,min_recall,0.041666666666666664,0.05892556509887897,0.0,0.025347318677468252,0
syn_ir100_hard,SMOTE-ENN,RF,rare_recall,0.041666666666666664,0.05892556509887897,0.0,0.025347318677468252,0
syn_ir100_hard,SMOTE-IPF,RF,f1_macro,0.5097688807082964,0.028317376134207827,-0.001253086189997643,0.3056469920650897,0
syn_ir100_hard,SMOTE-IPF,RF,gmean,0.07124238783552972,0.14049134199477198,-2.503132837000134e-06,0.3056469920650897,0
syn_ir100_hard,SMOTE-IPF,RF,gmean_strict,0.07044489285986665,0.14089008861506871,0.0,0.10880943004054569,0
syn_ir100_hard,SMOTE-IPF,RF,mcc,0.020831635656603766,0.058589183221937055,-0.0070534561585859825,0.3056469920650897,0
syn_ir100_hard,SMOTE-IPF,RF,min_recall,0.025,0.05000000000000001,0.0,0.0832645166635504,0
syn_ir100_hard,SMOTE-IPF,RF,rare_recall,0.025,0.05000000000000001,0.0,0.0832645166635504,0
syn_ir100_hard,MWMOTE,RF,f1_macro,0.5075784001438943,0.029139601337319784,-0.0009392290882038745,0.0776311060517476,0
syn_ir100_hard,MWMOTE,RF,gmean,0.04790195039576297,0.11958267460191942,-1.8767611161438994e-06,0.0776311060517476,0
syn_ir100_hard,MWMOTE,RF,gmean_strict,0.04703716138117991,0.11992187227191228,0.0,0.17971249487899976,0
syn_ir100_hard,MWMOTE,RF,mcc,0.01934465163413874,0.0690439225059657,-0.006104676956673598,0.0776311060517476,0
syn_ir100_hard,MWMOTE,RF,min_recall,0.016666666666666666,0.042491829279939865,0.0,0.15729920705028502,0
syn_ir100_hard,MWMOTE,RF,rare_recall,0.016666666666666666,0.042491829279939865,0.0,0.15729920705028502,0
