cls,n_bnd,n_cert,n_fb,n_viol
3,16,16,0,0
4,192,177,15,1
1,251,89,162,50
5,264,60,204,93
0,268,20,248,180
3,16,16,0,0
4,192,177,15,1
1,251,83,168,40
5,264,83,181,85
0,268,25,243,193
3,17,17,0,0
4,193,169,24,5
1,251,81,170,68
5,265,123,142,71
0,268,64,204,170
3,17,17,0,0
4,193,169,24,5
1,251,87,164,65
5,265,139,126,64
0,268,57,211,184
3,17,17,0,0
4,193,175,18,3
1,251,130,121,42
5,265,39,226,143
0,268,76,192,110
3,17,17,0,0
4,193,175,18,3
1,251,121,130,40
5,265,53,212,129
0,268,76,192,110
3,17,17,0,0
4,192,166,26,3
1,251,111,140,52
5,265,28,237,120
0,268,0,268,251
3,17,17,0,0
4,192,166,26,3
1,251,124,127,48
5,265,21,244,123
0,268,0,268,262
3,17,17,0,0
4,193,163,30,4
1,251,89,162,46
5,265,74,191,84
0,268,91,177,137
3,17,17,0,0
4,193,163,30,4
1,251,84,167,57
5,265,88,177,87
0,268,73,195,153
3,16,16,0,0
4,192,176,16,2
1,251,100,151,53
5,264,69,195,108
0,268,27,241,204
3,16,16,0,0
4,192,176,16,2
1,251,104,147,56
5,264,60,204,101
0,268,31,237,201
3,17,17,0,0
4,193,176,17,2
1,251,102,149,39
5,265,92,173,85
0,268,38,230,184
3,17,17,0,0
4,193,176,17,2
1,251,104,147,47
5,265,94,171,97
0,268,45,223,181
3,17,17,0,0
4,193,175,18,5
1,251,118,133,44
5,265,67,198,149
0,268,58,210,147
3,17,17,0,0
4,193,175,18,5
1,251,126,125,38
5,265,68,197,133
0,268,62,206,134
3,17,17,0,0
4,192,170,22,4
1,251,97,154,44
5,265,32,233,125
0,268,92,176,125
3,17,17,0,0
4,192,170,22,4
1,251,99,152,48
5,265,33,232,108
0,268,75,193,143
3,17,17,0,0
4,193,180,13,1
1,251,102,149,47
5,265,107,158,98
0,268,44,224,176
3,17,17,0,0
4,193,180,13,1
1,251,110,141,46
5,265,117,148,94
0,268,43,225,166
3,16,16,0,0
4,192,174,18,3
1,251,101,150,47
5,264,52,212,118
0,268,33,235,160
3,16,16,0,0
4,192,174,18,3
1,251,104,147,37
5,264,44,220,119
0,268,28,240,166
3,17,17,0,0
4,193,176,17,1
1,251,106,145,61
5,265,107,158,87
0,268,44,224,140
3,17,17,0,0
4,193,176,17,1
1,251,91,160,63
5,265,120,145,84
0,268,40,228,129
3,17,17,0,0
4,193,177,16,6
1,251,93,158,57
5,265,92,173,93
0,268,6,262,229
3,17,17,0,0
4,193,177,16,6
1,251,92,159,50
5,265,89,176,99
0,268,6,262,220
3,17,17,0,0
4,192,177,15,2
1,251,98,153,38
5,265,24,241,154
0,268,89,179,94
3,17,17,0,0
4,192,177,15,2
1,251,103,148,38
