dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,Base,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,0
Wine_Red,Base,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,0
Wine_Red,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,0
Wine_Red,Base,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,GMM-KDE,RF,f1_macro,0.3799066203113734,0.02120338712963817,0.032522319676084266,0.15142822265625,0
Wine_Red,GMM-KDE,RF,gmean,0.09593497060866708,0.14100955843366614,0.05108885555801217,6.103515625e-05,0
Wine_Red,GMM-KDE,RF,gmean_strict,0.06020634447783889,0.15382224347549636,0.0,0.17971249487899976,0
Wine_Red,GMM-KDE,RF,mcc,0.45648576128057317,0.030816896978763338,-0.0544971187892746,6.103515625e-05,0
Wine_Red,GMM-KDE,RF,min_recall,0.17222222222222222,0.11062393195411044,0.125,0.007212578345957219,0
Wine_Red,GMM-KDE,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,GS-0.85,RF,f1_macro,0.3852024597735231,0.03457449692135263,0.029821719211963138,0.083251953125,0
Wine_Red,GS-0.85,RF,gmean,0.12717161129726465,0.17566930833443295,0.04922766385028107,6.103515625e-05,0
Wine_Red,GS-0.85,RF,gmean_strict,0.09518959261235763,0.1907150320500447,0.0,0.10880943004054569,0
Wine_Red,GS-0.85,RF,mcc,0.459946038111229,0.04356472465017347,-0.045920827698089806,6.103515625e-05,0
Wine_Red,GS-0.85,RF,min_recall,0.19722222222222224,0.15772299518420432,0.125,0.007264382942252025,0
Wine_Red,GS-0.85,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,GS-0.70,RF,f1_macro,0.3872290015878163,0.028299841727434286,0.016209084558039932,0.041259765625,0
Wine_Red,GS-0.70,RF,gmean,0.0933149518559489,0.1370189150564083,0.05172241248654406,6.103515625e-05,0
Wine_Red,GS-0.70,RF,gmean_strict,0.058458997381723485,0.1490566757602005,0.0,0.17971249487899976,0
Wine_Red,GS-0.70,RF,mcc,0.4588119675828067,0.033181326926269274,-0.043962703436684125,6.103515625e-05,0
Wine_Red,GS-0.70,RF,min_recall,0.16666666666666663,0.13176156917368245,0.125,0.011109224550098225,0
Wine_Red,GS-0.70,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,GS-0.55,RF,f1_macro,0.390625104655701,0.03468287348992141,0.013593325571982173,0.083251953125,0
Wine_Red,GS-0.55,RF,gmean,0.09996333282452245,0.14548024652199829,0.051053647359867366,6.103515625e-05,0
Wine_Red,GS-0.55,RF,gmean_strict,0.062339262332992966,0.15894109781633678,0.0,0.17971249487899976,0
Wine_Red,GS-0.55,RF,mcc,0.45761940938957374,0.036833928620566836,-0.03892899805645872,0.0001220703125,0
Wine_Red,GS-0.55,RF,min_recall,0.1638888888888889,0.11830855243914917,0.125,0.010909498364269283,0
Wine_Red,GS-0.55,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_Red,GW-1.15,RF,f1_macro,0.37273191546830425,0.025062934671614998,0.01633251134726804,0.48870849609375,0
Wine_Red,GW-1.15,RF,gmean,0.08548228479445813,0.12603371210179296,0.04501210995654981,6.103515625e-05,0
Wine_Red,GW-1.15,RF,gmean_strict,0.053612930244278635,0.13699678544509392,0.0,0.17971249487899976,0
Wine_Red,GW-1.15,RF,mcc,0.45353127075996996,0.03904755511648428,-0.04297452323115569,0.00018310546875,0
Wine_Red,GW-1.15,RF,min_recall,0.1861111111111111,0.113719386058104,0.125,0.007264382942252025,0
Wine_Red,GW-1.15,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,GW-1.30,RF,f1_macro,0.38534366846234974,0.027508922554709818,0.019929995889466867,0.1353759765625,0
Wine_Red,GW-1.30,RF,gmean,0.1406214200292263,0.1713329343599377,0.049247928579707397,6.103515625e-05,0
Wine_Red,GW-1.30,RF,gmean_strict,0.11241048637066184,0.18736599572156099,0.0,0.06788915486182899,0
Wine_Red,GW-1.30,RF,mcc,0.45418932244356014,0.03118142651286081,-0.04446413740849253,6.103515625e-05,0
Wine_Red,GW-1.30,RF,min_recall,0.19722222222222222,0.12862041003100252,0.125,0.00736857462637493,0
Wine_Red,GW-1.30,RF,rare_recall,0.13333333333333333,0.22110831935702668,0.0,0.0455002638963584,0
Wine_Red,wGMM-fisher,RF,f1_macro,0.3911218387289323,0.027837961112917076,0.03302208845491722,0.0301513671875,0
Wine_Red,wGMM-fisher,RF,gmean,0.10078046313403867,0.14253827035853656,0.05181888794789581,6.103515625e-05,0
Wine_Red,wGMM-fisher,RF,gmean_strict,0.06146557067889657,0.15699902264523116,0.0,0.17971249487899976,0
Wine_Red,wGMM-fisher,RF,mcc,0.4689697646654932,0.021771451699752368,-0.02526680822509153,0.00042724609375,0
Wine_Red,wGMM-fisher,RF,min_recall,0.18055555555555552,0.1114577924874382,0.125,0.004643645257632883,0
Wine_Red,wGMM-fisher,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,wGMM-ovrSHAP,RF,f1_macro,0.3884409083113447,0.03171375840251912,0.010706293715496917,0.12054443359375,0
Wine_Red,wGMM-ovrSHAP,RF,gmean,0.17304365033897012,0.19365750593566505,0.05479731806224484,6.103515625e-05,0
Wine_Red,wGMM-ovrSHAP,RF,gmean_strict,0.1479534740349554,0.21044981606349172,0.0,0.043114446783075355,0
Wine_Red,wGMM-ovrSHAP,RF,mcc,0.46256616378670484,0.03225406460984597,-0.04093669059091676,0.00030517578125,0
Wine_Red,wGMM-ovrSHAP,RF,min_recall,0.22222222222222218,0.1518913679388035,0.16666666666666666,0.0032067376594402783,0
Wine_Red,wGMM-ovrSHAP,RF,rare_recall,0.16666666666666666,0.23570226039551587,0.0,0.025347318677468252,0
Wine_Red,wGMM-rand,RF,f1_macro,0.38287300491976833,0.034750920524398224,0.010414390395337647,0.27685546875,0
Wine_Red,wGMM-rand,RF,gmean,0.11959732198485579,0.16981938809739125,0.04812775412919108,6.103515625e-05,0
Wine_Red,wGMM-rand,RF,gmean_strict,0.09045640984759866,0.18308454398540389,0.0,0.10880943004054569,0
Wine_Red,wGMM-rand,RF,mcc,0.46101557235794705,0.038252838083143004,-0.03581306537667439,6.103515625e-05,0
Wine_Red,wGMM-rand,RF,min_recall,0.1833333333333333,0.13070322617798433,0.125,0.0047256977341214425,0
Wine_Red,wGMM-rand,RF,rare_recall,0.13333333333333333,0.22110831935702668,0.0,0.0455002638963584,0
Wine_White,Base,RF,f1_macro,0.416745978236056,0.017867652323738464,0.0,1.0,0
Wine_White,Base,RF,gmean,0.011337535517248021,0.000751009525176913,0.0,1.0,0
Wine_White,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,mcc,0.5213086992904172,0.018528959164411538,0.0,1.0,0
Wine_White,Base,RF,min_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,GMM-KDE,RF,f1_macro,0.4171494060713978,0.020104625017165527,-0.004016897448155088,0.93408203125,0
Wine_White,GMM-KDE,RF,gmean,0.09895386149346501,0.13854500578025783,0.06865531413724892,6.103515625e-05,0
Wine_White,GMM-KDE,RF,gmean_strict,0.04031884184284052,0.1508592924074345,0.0,0.31731050786291415,0
Wine_White,GMM-KDE,RF,mcc,0.4810337634882003,0.018647950574558095,-0.03422584097613246,6.103515625e-05,0
Wine_White,GMM-KDE,RF,min_recall,0.18333333333333332,0.19825628755617197,0.125,0.0027690039437675987,0
Wine_White,GMM-KDE,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,GS-0.85,RF,f1_macro,0.40419389785699517,0.024085459017040088,-0.017940333892634053,0.03533935546875,0
Wine_White,GS-0.85,RF,gmean,0.08803203114818152,0.1413421748899938,0.06686141311434823,6.103515625e-05,0
Wine_White,GS-0.85,RF,gmean_strict,0.04023394413351284,0.1505416342662084,0.0,0.31731050786291415,0
Wine_White,GS-0.85,RF,mcc,0.4720041562352288,0.01912498462920299,-0.04964119985762461,6.103515625e-05,0
Wine_White,GS-0.85,RF,min_recall,0.125,0.18257418583505536,0.125,0.005000169055962822,0
Wine_White,GS-0.85,RF,rare_recall,0.06666666666666667,0.24944382578492943,0.0,0.31731050786291415,0
Wine_White,GS-0.70,RF,f1_macro,0.3955765529402164,0.012559101313205328,-0.020824097211102066,0.0001220703125,0
Wine_White,GS-0.70,RF,gmean,0.053372807788717454,0.032571963975798285,0.06692393891877409,6.103515625e-05,0
Wine_White,GS-0.70,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,GS-0.70,RF,mcc,0.47411322685146434,0.02165380812667121,-0.04650332888123271,6.103515625e-05,0
Wine_White,GS-0.70,RF,min_recall,0.08333333333333333,0.07453559924999299,0.125,0.003892417122778628,0
Wine_White,GS-0.70,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,GS-0.55,RF,f1_macro,0.39225596627635767,0.013488541628470649,-0.025433162706169188,0.00152587890625,0
Wine_White,GS-0.55,RF,gmean,0.04066848367931193,0.033296040340351774,0.0022265657088091657,6.103515625e-05,0
Wine_White,GS-0.55,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,GS-0.55,RF,mcc,0.4691330518060041,0.02022278106307628,-0.05375788869048315,6.103515625e-05,0
Wine_White,GS-0.55,RF,min_recall,0.06666666666666667,0.08975274678557507,0.0,0.023140931308743732,0
Wine_White,GS-0.55,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,GW-1.15,RF,f1_macro,0.4180160972403396,0.02674126485311431,-0.01751730653866751,0.93408203125,0
Wine_White,GW-1.15,RF,gmean,0.12241392377499972,0.18702912042553171,0.06637288426795585,6.103515625e-05,0
Wine_White,GW-1.15,RF,gmean_strict,0.07890592015043343,0.20131547497166802,0.0,0.17971249487899976,0
Wine_White,GW-1.15,RF,mcc,0.4762453291009032,0.015362702119626202,-0.04784754050609319,6.103515625e-05,0
Wine_White,GW-1.15,RF,min_recall,0.19166666666666668,0.2365844927763065,0.125,0.007109552693052261,0
Wine_White,GW-1.15,RF,rare_recall,0.2,0.4000000000000001,0.0,0.0832645166635504,0
Wine_White,GW-1.30,RF,f1_macro,0.4260246820347422,0.020252633882465725,0.012470423701976152,0.33026123046875,0
Wine_White,GW-1.30,RF,gmean,0.13001678042213322,0.18144900320535243,0.06702205836416289,6.103515625e-05,0
Wine_White,GW-1.30,RF,gmean_strict,0.07814818692233047,0.19939423826412048,0.0,0.17971249487899976,0
Wine_White,GW-1.30,RF,mcc,0.4838128168397357,0.01704881081016247,-0.037248850386731314,6.103515625e-05,0
Wine_White,GW-1.30,RF,min_recall,0.20833333333333334,0.22669117514559073,0.125,0.0028110405915931177,0
Wine_White,GW-1.30,RF,rare_recall,0.2,0.4000000000000001,0.0,0.0832645166635504,0
Wine_White,wGMM-fisher,RF,f1_macro,0.4148923325208215,0.027512912108305247,-0.01045471168411255,0.359130859375,0
Wine_White,wGMM-fisher,RF,gmean,0.12972078029170772,0.18295583552272482,0.06685582371583679,6.103515625e-05,0
Wine_White,wGMM-fisher,RF,gmean_strict,0.07862256766068465,0.20076333836662194,0.0,0.17971249487899976,0
Wine_White,wGMM-fisher,RF,mcc,0.4751386447714122,0.019208669083075797,-0.05013726281469949,6.103515625e-05,0
Wine_White,wGMM-fisher,RF,min_recall,0.175,0.2131118642090737,0.125,0.002184185633813952,0
Wine_White,wGMM-fisher,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,wGMM-ovrSHAP,RF,f1_macro,0.4138426572148142,0.03858298971909448,-0.013852429292535273,0.15142822265625,0
Wine_White,wGMM-ovrSHAP,RF,gmean,0.10297083833144775,0.13745602286488612,0.06705756921912051,6.103515625e-05,0
