dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,BalancedRF,BRF,f1_macro,0.2781608044560508,0.027877886670133585,0.0,1.0,0
Wine_Red,BalancedRF,BRF,gmean,0.22328291566513483,0.19718612649742095,0.0,1.0,0
Wine_Red,BalancedRF,BRF,gmean_strict,0.20130010652953648,0.21725817790985968,0.0,1.0,0
Wine_Red,BalancedRF,BRF,mcc,0.2423296029646232,0.03533409551743732,0.0,1.0,0
Wine_Red,BalancedRF,BRF,min_recall,0.3888888888888888,0.17391639824998364,0.0,1.0,0
Wine_Red,BalancedRF,BRF,rare_recall,0.26666666666666666,0.3091206165165235,0.0,1.0,0
Wine_White,BalancedRF,BRF,f1_macro,0.2110735502681069,0.010139323546840938,0.0,1.0,0
Wine_White,BalancedRF,BRF,gmean,0.18661988720840136,0.16468207633517754,0.0,1.0,0
Wine_White,BalancedRF,BRF,gmean_strict,0.16864605664393267,0.18044679800596977,0.0,1.0,0
Wine_White,BalancedRF,BRF,mcc,0.1609437983997689,0.017979352797169126,0.0,1.0,0
Wine_White,BalancedRF,BRF,min_recall,0.375,0.2776388541492947,0.0,1.0,0
Wine_White,BalancedRF,BRF,rare_recall,0.6,0.4898979485566357,0.0,1.0,0
ecoli,BalancedRF,BRF,f1_macro,0.7747005890980311,0.05139520928084103,0.0,1.0,0
ecoli,BalancedRF,BRF,gmean,0.8893410643916196,0.04970772438823042,0.0,1.0,0
ecoli,BalancedRF,BRF,gmean_strict,0.8893410643916196,0.04970772438823042,0.0,1.0,0
ecoli,BalancedRF,BRF,mcc,0.6030899774000471,0.08662278137055891,0.0,1.0,0
ecoli,BalancedRF,BRF,min_recall,0.9047619047619049,0.09988655696858587,0.0,1.0,0
ecoli,BalancedRF,BRF,rare_recall,0.9047619047619049,0.09988655696858587,0.0,1.0,0
us_crime,BalancedRF,BRF,f1_macro,0.7115669937554076,0.03366918794775412,0.0,1.0,0
us_crime,BalancedRF,BRF,gmean,0.8502835770787609,0.043658706600824104,0.0,1.0,0
us_crime,BalancedRF,BRF,gmean_strict,0.8502835770787609,0.043658706600824104,0.0,1.0,0
us_crime,BalancedRF,BRF,mcc,0.48967348393285165,0.05951953181010326,0.0,1.0,0
us_crime,BalancedRF,BRF,min_recall,0.828888888888889,0.08765814632584899,0.0,1.0,0
us_crime,BalancedRF,BRF,rare_recall,0.828888888888889,0.08765814632584899,0.0,1.0,0
