dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
ecoli,Base,RF,f1_macro,0.7600414752623021,0.1082201646988697,0.0,1.0,0
ecoli,Base,RF,gmean,0.6592237486574335,0.2194040596106154,0.0,1.0,0
ecoli,Base,RF,gmean_strict,0.6591570819907668,0.21960411371904756,0.0,1.0,0
ecoli,Base,RF,mcc,0.5505871405729402,0.1989445580224261,0.0,1.0,0
ecoli,Base,RF,min_recall,0.4952380952380952,0.2204921314817186,0.0,1.0,0
ecoli,Base,RF,rare_recall,0.4952380952380952,0.2204921314817186,0.0,1.0,0
ecoli,ROS,RF,f1_macro,0.7379411801339907,0.0701024294691397,-0.026316864953228603,0.33053567270784123,0
ecoli,ROS,RF,gmean,0.6965796127381291,0.13185895217436686,-0.004473070135539214,0.683239071626591,0
ecoli,ROS,RF,gmean_strict,0.6965796127381291,0.13185895217436686,-0.004473070135539214,0.683239071626591,0
ecoli,ROS,RF,mcc,0.49153980407441966,0.1350057330342509,-0.05499701656693612,0.15781136896845493,0
ecoli,ROS,RF,min_recall,0.5333333333333333,0.19840634910475866,0.0,0.20988889312119496,0
ecoli,ROS,RF,rare_recall,0.5333333333333333,0.19840634910475866,0.0,0.20988889312119496,0
ecoli,SMOTE,RF,f1_macro,0.765872494411802,0.07267174002788894,4.512051892646696e-05,0.97796630859375,0
ecoli,SMOTE,RF,gmean,0.7576291918332536,0.12694527837153394,0.0732732279705195,0.05535888671875,0
ecoli,SMOTE,RF,gmean_strict,0.7576291918332536,0.12694527837153394,0.0732732279705195,0.05535888671875,0
ecoli,SMOTE,RF,mcc,0.5417963938169323,0.1432024200473316,-0.05350517476993005,0.389404296875,0
ecoli,SMOTE,RF,min_recall,0.6285714285714284,0.1791894068783503,0.14285714285714285,0.022462272637016854,0
ecoli,SMOTE,RF,rare_recall,0.6285714285714284,0.1791894068783503,0.14285714285714285,0.022462272637016854,0
ecoli,Borderline,RF,f1_macro,0.7642826054085561,0.07686477124416788,-0.0174192665571975,0.803955078125,0
ecoli,Borderline,RF,gmean,0.7651391054490361,0.13313054427329396,0.066893511360397,0.072998046875,0
ecoli,Borderline,RF,gmean_strict,0.7651391054490361,0.13313054427329396,0.066893511360397,0.072998046875,0
ecoli,Borderline,RF,mcc,0.5436338884557717,0.15302370818686656,-0.05499701656693612,0.67877197265625,0
ecoli,Borderline,RF,min_recall,0.6476190476190474,0.19424836242258228,0.1428571428571429,0.03040423189289196,0
ecoli,Borderline,RF,rare_recall,0.6476190476190474,0.19424836242258228,0.1428571428571429,0.03040423189289196,0
ecoli,ADASYN,RF,f1_macro,0.785639704785391,0.05596216469335236,0.02636198547215507,0.5699831072633743,0
ecoli,ADASYN,RF,gmean,0.8068334510399651,0.07645377105373723,0.13508671269647332,0.008971156804419326,0
ecoli,ADASYN,RF,gmean_strict,0.8068334510399651,0.07645377105373723,0.13508671269647332,0.008971156804419326,0
ecoli,ADASYN,RF,mcc,0.5846931004964652,0.10959092185989332,0.039395230235416134,0.5699831072633743,0
ecoli,ADASYN,RF,min_recall,0.7047619047619046,0.13265131692556303,0.2857142857142857,0.0026043512570359958,0
ecoli,ADASYN,RF,rare_recall,0.7047619047619046,0.13265131692556303,0.2857142857142857,0.0026043512570359958,0
ecoli,SVM-SMOTE,RF,f1_macro,0.7835972152800392,0.04155656847333132,0.020777448715364466,0.5699831072633743,0
ecoli,SVM-SMOTE,RF,gmean,0.806399588004411,0.06483194364667452,0.08053111809070745,0.004505955590264732,0
ecoli,SVM-SMOTE,RF,gmean_strict,0.806399588004411,0.06483194364667452,0.08053111809070745,0.004505955590264732,0
ecoli,SVM-SMOTE,RF,mcc,0.5819310345688898,0.07768639113117724,0.009601706271566202,0.954698429734882,0
ecoli,SVM-SMOTE,RF,min_recall,0.7047619047619047,0.1219642711891971,0.1428571428571429,0.0008945445366808121,0
ecoli,SVM-SMOTE,RF,rare_recall,0.7047619047619047,0.1219642711891971,0.1428571428571429,0.0008945445366808121,0
ecoli,KMeans-SMOTE,RF,f1_macro,0.7692806059345686,0.045453990075130374,-0.010965051208953636,0.9095427776952096,0
ecoli,KMeans-SMOTE,RF,gmean,0.7633312226178895,0.08532999650142642,0.07238519609967986,0.04678213299877719,0
ecoli,KMeans-SMOTE,RF,gmean_strict,0.7633312226178895,0.08532999650142642,0.07238519609967986,0.04678213299877719,0
ecoli,KMeans-SMOTE,RF,mcc,0.5502540293234036,0.08774661711175492,-0.05499701656693612,0.5699831072633743,0
ecoli,KMeans-SMOTE,RF,min_recall,0.6285714285714284,0.14568627181693675,0.14285714285714285,0.008211438659577273,0
ecoli,KMeans-SMOTE,RF,rare_recall,0.6285714285714284,0.14568627181693675,0.14285714285714285,0.008211438659577273,0
ecoli,PlainKDE,RF,f1_macro,0.7904935804013494,0.06634858837092218,0.020440113700301854,0.39672623294506304,0
ecoli,PlainKDE,RF,gmean,0.7942668049672421,0.10711842278799272,0.0821347269050301,0.003510363671504142,0
ecoli,PlainKDE,RF,gmean_strict,0.7942668049672421,0.10711842278799272,0.0821347269050301,0.003510363671504142,0
ecoli,PlainKDE,RF,mcc,0.5978433118225044,0.11903655634877987,0.035223176225528285,0.550923682773407,0
ecoli,PlainKDE,RF,min_recall,0.6857142857142857,0.18220120447341895,0.1428571428571429,0.0019659033370718845,0
ecoli,PlainKDE,RF,rare_recall,0.6857142857142857,0.18220120447341895,0.1428571428571429,0.0019659033370718845,0
ecoli,GMM-S,RF,f1_macro,0.7744281697631767,0.06304945285408918,0.0,0.8260488636764323,0
ecoli,GMM-S,RF,gmean,0.7432725169305407,0.1278427932399372,0.07415140148058497,0.09611509249765772,0
ecoli,GMM-S,RF,gmean_strict,0.7432725169305407,0.1278427932399372,0.07415140148058497,0.09611509249765772,0
ecoli,GMM-S,RF,mcc,0.5700354029886014,0.11627608244964732,0.0,0.92495987663281,0
ecoli,GMM-S,RF,min_recall,0.5999999999999999,0.18952141659173713,0.14285714285714285,0.012222679338725985,0
ecoli,GMM-S,RF,rare_recall,0.5999999999999999,0.18952141659173713,0.14285714285714285,0.012222679338725985,0
ecoli,SG-KDE,RF,f1_macro,0.7958713689253213,0.05695212213285202,0.04675697865353046,0.42120361328125,0
ecoli,SG-KDE,RF,gmean,0.8428961183641058,0.08668727852588638,0.1186682544141281,0.00018310546875,0
ecoli,SG-KDE,RF,gmean_strict,0.8428961183641058,0.08668727852588638,0.1186682544141281,0.00018310546875,0
ecoli,SG-KDE,RF,mcc,0.6158442966886094,0.10558256759291358,0.06287299698241211,0.52447509765625,0
ecoli,SG-KDE,RF,min_recall,0.780952380952381,0.1638538146103357,0.2857142857142857,0.0009204698644215821,0
