dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,SMOTE-IPF,RF,f1_macro,0.4057093900307398,0.04358046017560177,0.030912337345907814,0.00262451171875,0
Wine_Red,SMOTE-IPF,RF,gmean,0.09916500637409777,0.15118107468066402,0.045176769313342226,6.103515625e-05,0
Wine_Red,SMOTE-IPF,RF,gmean_strict,0.06424629322990952,0.16380673368967125,0.0,0.17971249487899976,0
Wine_Red,SMOTE-IPF,RF,mcc,0.4851891059777208,0.03920869968713349,-0.017766900624119064,0.04791259765625,0
Wine_Red,SMOTE-IPF,RF,min_recall,0.1611111111111111,0.11869922566234163,0.125,0.00660614735270243,0
Wine_Red,SMOTE-IPF,RF,rare_recall,0.06666666666666667,0.16996731711975951,0.0,0.15729920705028502,0
Wine_Red,MWMOTE,RF,f1_macro,0.39262180870852975,0.03964686453638612,0.03585787013113123,0.00262451171875,0
Wine_Red,MWMOTE,RF,gmean,0.024504257513162993,0.02326100231521602,0.005913770422917211,6.103515625e-05,0
Wine_Red,MWMOTE,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,MWMOTE,RF,mcc,0.49645823470414274,0.04226938358564101,-0.012018228630558403,0.15142822265625,0
Wine_Red,MWMOTE,RF,min_recall,0.08055555555555555,0.10371197056996927,0.0,0.17971249487899976,0
Wine_Red,MWMOTE,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,VAE,RF,f1_macro,0.3469429133276266,0.02533006626513428,-0.013529788791300734,0.12054443359375,0
Wine_Red,VAE,RF,gmean,0.05694204678233335,0.12478470064756114,0.006121839669314855,0.00042724609375,0
Wine_Red,VAE,RF,gmean_strict,0.03452818957726838,0.12919265558371723,0.0,0.31731050786291415,0
Wine_Red,VAE,RF,mcc,0.4221075641631434,0.03323700332843462,-0.0829027519363606,6.103515625e-05,0
Wine_Red,VAE,RF,min_recall,0.1833333333333333,0.11666666666666667,0.125,0.004455352355471741,0
Wine_Red,VAE,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_White,SMOTE-IPF,RF,f1_macro,0.41653020408145275,0.015932972763674294,-0.00674195965473795,0.803955078125,0
Wine_White,SMOTE-IPF,RF,gmean,0.021134674211906092,0.02092012037688115,0.0015374874289285894,6.103515625e-05,0
