dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,Base,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,0
Wine_Red,Base,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,0
Wine_Red,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,0
Wine_Red,Base,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,SMOTE-ENN,RF,f1_macro,0.2767879891627722,0.023675856969124397,-0.08491277711556527,6.103515625e-05,0
Wine_Red,SMOTE-ENN,RF,gmean,0.09452239546268487,0.13897653913633165,0.04280945004142017,6.103515625e-05,0
Wine_Red,SMOTE-ENN,RF,gmean_strict,0.05961071093693503,0.15197952395240683,0.0,0.17971249487899976,0
Wine_Red,SMOTE-ENN,RF,mcc,0.27045414292191333,0.027903052193332636,-0.24149141147439146,6.103515625e-05,0
Wine_Red,SMOTE-ENN,RF,min_recall,0.16944444444444443,0.11124991330278214,0.125,0.00660614735270243,0
Wine_Red,SMOTE-ENN,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_Red,SMOTE-Tomek,RF,f1_macro,0.3931512264410631,0.0446764536944492,0.02240292338619687,0.041259765625,0
Wine_Red,SMOTE-Tomek,RF,gmean,0.09118608107229868,0.14642735512444444,0.04574292522035002,6.103515625e-05,0
Wine_Red,SMOTE-Tomek,RF,gmean_strict,0.06139720674050581,0.1565670220743851,0.0,0.17971249487899976,0
Wine_Red,SMOTE-Tomek,RF,mcc,0.4682320780881428,0.04085798606809108,-0.041683626401396556,0.0001220703125,0
Wine_Red,SMOTE-Tomek,RF,min_recall,0.1472222222222222,0.12807935425998337,0.0,0.0169473483375683,0
Wine_Red,SMOTE-Tomek,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Base,XGB,f1_macro,0.372480330365402,0.046519591789396485,0.0,1.0,0
Wine_Red,Base,XGB,gmean,0.011521612633013071,0.0171960211422375,0.0,1.0,0
Wine_Red,Base,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,XGB,mcc,0.49371234926259444,0.0420231173475588,0.0,1.0,0
Wine_Red,Base,XGB,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,XGB,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,SMOTE-ENN,XGB,f1_macro,0.28405822022118427,0.025613197431299167,-0.08248320869043191,0.0001220703125,0
Wine_Red,SMOTE-ENN,XGB,gmean,0.1449162967034246,0.18277736400651598,0.04437388684835139,0.00030517578125,0
Wine_Red,SMOTE-ENN,XGB,gmean_strict,0.118960351296296,0.19770794196028368,0.0,0.06788915486182899,0
Wine_Red,SMOTE-ENN,XGB,mcc,0.2751323385683243,0.028869762101982603,-0.21544736544493853,6.103515625e-05,0
Wine_Red,SMOTE-ENN,XGB,min_recall,0.20277777777777775,0.1558033740264462,0.125,0.004753229214898705,0
Wine_Red,SMOTE-ENN,XGB,rare_recall,0.13333333333333333,0.22110831935702668,0.0,0.0455002638963584,0
Wine_Red,SMOTE-Tomek,XGB,f1_macro,0.3968069227039532,0.05084623433028258,0.021940716816184258,0.1876220703125,0
Wine_Red,SMOTE-Tomek,XGB,gmean,0.09083752993464343,0.15528712060702632,0.005685068128002489,0.0008544921875,0
Wine_Red,SMOTE-Tomek,XGB,gmean_strict,0.06433146548037616,0.1640943253362805,0.0,0.17971249487899976,0
Wine_Red,SMOTE-Tomek,XGB,mcc,0.46349747158283655,0.03654085176941703,-0.03586901095194672,0.00201416015625,0
Wine_Red,SMOTE-Tomek,XGB,min_recall,0.17499999999999996,0.16541194367732673,0.125,0.010711502275526853,0
Wine_Red,SMOTE-Tomek,XGB,rare_recall,0.1,0.27080128015453203,0.0,0.17971249487899976,0
Wine_Red,Base,LR,f1_macro,0.2941394090001722,0.031161310678790508,0.0,1.0,0
Wine_Red,Base,LR,gmean,0.0025651914417680966,0.002310522018329184,0.0,1.0,0
Wine_Red,Base,LR,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,LR,mcc,0.34554561343235657,0.03358716102314719,0.0,1.0,0
Wine_Red,Base,LR,min_recall,0.03333333333333333,0.08498365855987974,0.0,1.0,0
Wine_Red,Base,LR,rare_recall,0.06666666666666667,0.1699673171197595,0.0,1.0,0
Wine_Red,SMOTE-ENN,LR,f1_macro,0.21079511766412307,0.013393593839427918,-0.08783818212046032,6.103515625e-05,0
Wine_Red,SMOTE-ENN,LR,gmean,0.19374264698576046,0.16434540512263213,0.0521153723972241,6.103515625e-05,0
Wine_Red,SMOTE-ENN,LR,gmean_strict,0.17125741396010294,0.18507411643929603,0.0,0.017960477526078766,0
Wine_Red,SMOTE-ENN,LR,mcc,0.168757763109901,0.0123526640799663,-0.18953955016576815,6.103515625e-05,0
Wine_Red,SMOTE-ENN,LR,min_recall,0.40833333333333327,0.20080855079919793,0.375,0.000636992151797346,0
Wine_Red,SMOTE-ENN,LR,rare_recall,0.3333333333333333,0.34960294939005054,0.0,0.023140931308743732,0
Wine_Red,SMOTE-Tomek,LR,f1_macro,0.2869761098478848,0.021557707511681106,-0.011977466614718824,0.48870849609375,0
Wine_Red,SMOTE-Tomek,LR,gmean,0.2896314805153911,0.20278250006597498,0.4165833913187223,6.103515625e-05,0
Wine_Red,SMOTE-Tomek,LR,gmean_strict,0.27098039699994386,0.22515076362520825,0.417357432766068,0.007685794055213263,0
Wine_Red,SMOTE-Tomek,LR,mcc,0.2485415557528863,0.02208670830087161,-0.11086864861966586,6.103515625e-05,0
Wine_Red,SMOTE-Tomek,LR,min_recall,0.4194444444444444,0.21487866228681907,0.375,0.0006386112041971715,0
Wine_Red,SMOTE-Tomek,LR,rare_recall,0.36666666666666664,0.339934634239519,0.0,0.013874405883025447,0
Wine_White,Base,RF,f1_macro,0.416745978236056,0.017867652323738464,0.0,1.0,0
Wine_White,Base,RF,gmean,0.011337535517248021,0.000751009525176913,0.0,1.0,0
Wine_White,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,mcc,0.5213086992904172,0.018528959164411538,0.0,1.0,0
Wine_White,Base,RF,min_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-ENN,RF,f1_macro,0.2839695282217138,0.007954324671382212,-0.14087361163698603,6.103515625e-05,0
Wine_White,SMOTE-ENN,RF,gmean,0.022257164816233844,0.021751060720723487,-0.00021826077971219028,0.890380859375,0
Wine_White,SMOTE-ENN,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-ENN,RF,mcc,0.31270193986196043,0.01253671473403355,-0.21354888219935547,6.103515625e-05,0
Wine_White,SMOTE-ENN,RF,min_recall,0.025,0.05000000000000001,0.0,0.0832645166635504,0
Wine_White,SMOTE-ENN,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-Tomek,RF,f1_macro,0.40876694861480456,0.01419548811715056,-0.010350096436106626,0.12054443359375,0
Wine_White,SMOTE-Tomek,RF,gmean,0.016921851686173488,0.015142314856402462,0.0015310779209765334,6.103515625e-05,0
Wine_White,SMOTE-Tomek,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-Tomek,RF,mcc,0.48960922552313846,0.019069529506291545,-0.03481171787650644,6.103515625e-05,0
Wine_White,SMOTE-Tomek,RF,min_recall,0.008333333333333333,0.031180478223116183,0.0,0.31731050786291415,0
Wine_White,SMOTE-Tomek,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,XGB,f1_macro,0.41338431845655765,0.012592864569117103,0.0,1.0,0
Wine_White,Base,XGB,gmean,0.01171070621695523,0.0004651534224346675,0.0,1.0,0
Wine_White,Base,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,XGB,mcc,0.5022208530969173,0.012621645584091687,0.0,1.0,0
Wine_White,Base,XGB,min_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,XGB,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-ENN,XGB,f1_macro,0.297937871064775,0.010816196100204283,-0.11693286925654778,6.103515625e-05,0
Wine_White,SMOTE-ENN,XGB,gmean,0.03088085265090723,0.027138638263712427,7.34767099746271e-05,0.1876220703125,0
Wine_White,SMOTE-ENN,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-ENN,XGB,mcc,0.31788729587906395,0.014479543768208498,-0.1903115607202418,6.103515625e-05,0
Wine_White,SMOTE-ENN,XGB,min_recall,0.041666666666666664,0.05892556509887897,0.0,0.025347318677468252,0
Wine_White,SMOTE-ENN,XGB,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-Tomek,XGB,f1_macro,0.40936148675123746,0.017966965781234932,-0.004508132693155142,0.27685546875,0
Wine_White,SMOTE-Tomek,XGB,gmean,0.02063245994825349,0.020594780827547024,0.0009626039098412833,6.103515625e-05,0
Wine_White,SMOTE-Tomek,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-Tomek,XGB,mcc,0.4788007297931366,0.02588577773499797,-0.021533883920362207,0.00115966796875,0
Wine_White,SMOTE-Tomek,XGB,min_recall,0.016666666666666666,0.04249182927993988,0.0,0.15729920705028502,0
Wine_White,SMOTE-Tomek,XGB,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,LR,f1_macro,0.23734472650382557,0.023673584082315947,0.0,1.0,0
Wine_White,Base,LR,gmean,0.002413087371035099,0.0024822139064240006,0.0,1.0,0
Wine_White,Base,LR,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,LR,mcc,0.258029295442952,0.024030782828617103,0.0,1.0,0
Wine_White,Base,LR,min_recall,0.025,0.05000000000000001,0.0,1.0,0
Wine_White,Base,LR,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,SMOTE-ENN,LR,f1_macro,0.148767923879053,0.013444947652608799,-0.08192569343730705,6.103515625e-05,0
Wine_White,SMOTE-ENN,LR,gmean,0.11240440343335095,0.11651118866379996,0.042750930302667,6.103515625e-05,0
Wine_White,SMOTE-ENN,LR,gmean_strict,0.0917100549495872,0.13027673052746835,0.0,0.043114446783075355,0
Wine_White,SMOTE-ENN,LR,mcc,0.10429149247186328,0.015249140349391217,-0.15984887443110507,6.103515625e-05,0
Wine_White,SMOTE-ENN,LR,min_recall,0.375,0.26614532371118854,0.5,0.00296846954118083,0
Wine_White,SMOTE-ENN,LR,rare_recall,0.6,0.48989794855663565,1.0,0.002699796063260186,0
Wine_White,SMOTE-Tomek,LR,f1_macro,0.21471758217982087,0.013726241543423008,-0.019269117469839225,0.00115966796875,0
Wine_White,SMOTE-Tomek,LR,gmean,0.16112695578834185,0.1576559585773648,0.06377946473877658,6.103515625e-05,0
Wine_White,SMOTE-Tomek,LR,gmean_strict,0.1274042592637759,0.18045384576516538,0.0,0.043114446783075355,0
Wine_White,SMOTE-Tomek,LR,mcc,0.16105473545438434,0.017153983300404522,-0.09563157476008302,6.103515625e-05,0
Wine_White,SMOTE-Tomek,LR,min_recall,0.375,0.24579802006254375,0.5,0.002014748600923641,0
Wine_White,SMOTE-Tomek,LR,rare_recall,0.6,0.48989794855663565,1.0,0.002699796063260186,0
ecoli,Base,RF,f1_macro,0.7600414752623021,0.1082201646988697,0.0,1.0,0
ecoli,Base,RF,gmean,0.6592237486574335,0.2194040596106154,0.0,1.0,0
ecoli,Base,RF,gmean_strict,0.6591570819907668,0.21960411371904756,0.0,1.0,0
ecoli,Base,RF,mcc,0.5505871405729402,0.1989445580224261,0.0,1.0,0
ecoli,Base,RF,min_recall,0.4952380952380952,0.2204921314817186,0.0,1.0,0
ecoli,Base,RF,rare_recall,0.4952380952380952,0.2204921314817186,0.0,1.0,0
ecoli,SMOTE-ENN,RF,f1_macro,0.7596060427352211,0.06343596768242386,-0.04908135967924443,0.76153564453125,0
