dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,Base,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,0
Wine_Red,Base,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,0
Wine_Red,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,0
Wine_Red,Base,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,SMOTE,RF,f1_macro,0.4057093900307398,0.04358046017560177,0.030912337345907814,0.00262451171875,0
Wine_Red,SMOTE,RF,gmean,0.09916500637409777,0.15118107468066402,0.045176769313342226,6.103515625e-05,0
Wine_Red,SMOTE,RF,gmean_strict,0.06424629322990952,0.16380673368967125,0.0,0.17971249487899976,0
Wine_Red,SMOTE,RF,mcc,0.4851891059777208,0.03920869968713349,-0.017766900624119064,0.04791259765625,0
Wine_Red,SMOTE,RF,min_recall,0.1611111111111111,0.11869922566234163,0.125,0.00660614735270243,0
Wine_Red,SMOTE,RF,rare_recall,0.06666666666666667,0.16996731711975951,0.0,0.15729920705028502,0
Wine_Red,Borderline,RF,f1_macro,0.4061309173407649,0.050895770823806495,0.02643660798379943,0.00042724609375,0
Wine_Red,Borderline,RF,gmean,0.05457129193064538,0.10768411138188166,0.0058604201185269425,6.103515625e-05,0
Wine_Red,Borderline,RF,gmean_strict,0.02988717405859226,0.11182756558613027,0.0,0.31731050786291415,0
Wine_Red,Borderline,RF,mcc,0.489283640264846,0.039665818362286366,-0.02018447916921562,0.01806640625,0
Wine_Red,Borderline,RF,min_recall,0.12222222222222222,0.12589187992916287,0.0,0.04216819709715596,0
Wine_Red,Borderline,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_Red,ADASYN,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,15
Wine_Red,ADASYN,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,15
Wine_Red,ADASYN,RF,gmean_strict,0.0,0.0,0.0,1.0,15
Wine_Red,ADASYN,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,15
Wine_Red,ADASYN,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,15
Wine_Red,ADASYN,RF,rare_recall,0.0,0.0,0.0,1.0,15
Wine_Red,SG-KDE,RF,f1_macro,0.3817271735224883,0.02798280140020935,0.029536732354332962,0.1688232421875,0
Wine_Red,SG-KDE,RF,gmean,0.09772298830364415,0.14388461020898494,0.0428166371976267,6.103515625e-05,0
Wine_Red,SG-KDE,RF,gmean_strict,0.061467275547666546,0.156875299415759,0.0,0.17971249487899976,0
Wine_Red,SG-KDE,RF,mcc,0.45955040018676346,0.03107716914574021,-0.041970444889241953,6.103515625e-05,0
Wine_Red,SG-KDE,RF,min_recall,0.1722222222222222,0.12625909085959458,0.0,0.01775592261403605,0
Wine_Red,SG-KDE,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_Red,GS-0.85,RF,f1_macro,0.3852024597735231,0.03457449692135263,0.029821719211963138,0.083251953125,0
Wine_Red,GS-0.85,RF,gmean,0.12717161129726465,0.17566930833443295,0.04922766385028107,6.103515625e-05,0
Wine_Red,GS-0.85,RF,gmean_strict,0.09518959261235763,0.1907150320500447,0.0,0.10880943004054569,0
Wine_Red,GS-0.85,RF,mcc,0.459946038111229,0.04356472465017347,-0.045920827698089806,6.103515625e-05,0
Wine_Red,GS-0.85,RF,min_recall,0.19722222222222224,0.15772299518420432,0.125,0.007264382942252025,0
Wine_Red,GS-0.85,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Sgeo,RF,f1_macro,0.3801286208814467,0.0318896540654552,0.008313200816292499,0.207763671875,0
Wine_Red,Sgeo,RF,gmean,0.09805650108310325,0.14088929973834877,0.05183388185296406,6.103515625e-05,0
Wine_Red,Sgeo,RF,gmean_strict,0.060509503242365544,0.15429506438968715,0.0,0.17971249487899976,0
Wine_Red,Sgeo,RF,mcc,0.45261269157304707,0.03704724060626533,-0.056617886637926884,6.103515625e-05,0
Wine_Red,Sgeo,RF,min_recall,0.16944444444444443,0.12310288781200188,0.125,0.010909498364269283,0
Wine_Red,Sgeo,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,CC-SG,RF,f1_macro,0.400553647470654,0.04497208513504008,0.02011657543568729,0.01507568359375,0
Wine_Red,CC-SG,RF,gmean,0.09851647263721423,0.14835869066238264,0.04446407485318394,6.103515625e-05,0
Wine_Red,CC-SG,RF,gmean_strict,0.06304698663716361,0.16113601584782253,0.0,0.17971249487899976,0
Wine_Red,CC-SG,RF,mcc,0.472555736817699,0.0361987966456361,-0.03170343483292337,0.00018310546875,0
Wine_Red,CC-SG,RF,min_recall,0.16666666666666663,0.1536590742882148,0.0,0.01755232593841686,0
Wine_Red,CC-SG,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Base,XGB,f1_macro,0.372480330365402,0.046519591789396485,0.0,1.0,0
Wine_Red,Base,XGB,gmean,0.011521612633013071,0.0171960211422375,0.0,1.0,0
Wine_Red,Base,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,XGB,mcc,0.49371234926259444,0.0420231173475588,0.0,1.0,0
Wine_Red,Base,XGB,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,XGB,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,SMOTE,XGB,f1_macro,0.39769475294577666,0.0621959117348188,0.018296500235349455,0.1876220703125,0
Wine_Red,SMOTE,XGB,gmean,0.12316738738956974,0.19365802262112877,0.005766546609653086,0.00042724609375,0
Wine_Red,SMOTE,XGB,gmean_strict,0.10138602212788009,0.20345608931327808,0.0,0.10880943004054569,0
Wine_Red,SMOTE,XGB,mcc,0.4687719931055237,0.04991014104176006,-0.017723319424329254,0.01806640625,0
Wine_Red,SMOTE,XGB,min_recall,0.19166666666666662,0.18371173070873834,0.125,0.010613156038105713,0
Wine_Red,SMOTE,XGB,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Borderline,XGB,f1_macro,0.3900856770325119,0.03403292550958747,0.017777350428870076,0.15142822265625,0
Wine_Red,Borderline,XGB,gmean,0.028949639064644705,0.02181398785866858,0.005160041339284862,0.00115966796875,0
Wine_Red,Borderline,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Borderline,XGB,mcc,0.4780176571325757,0.038425701668863506,-0.009510147903775912,0.072998046875,0
Wine_Red,Borderline,XGB,min_recall,0.1,0.07728015412913088,0.0,0.03843393023678171,0
Wine_Red,Borderline,XGB,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,ADASYN,XGB,f1_macro,0.372480330365402,0.046519591789396485,0.0,1.0,15
Wine_Red,ADASYN,XGB,gmean,0.011521612633013071,0.0171960211422375,0.0,1.0,15
Wine_Red,ADASYN,XGB,gmean_strict,0.0,0.0,0.0,1.0,15
Wine_Red,ADASYN,XGB,mcc,0.49371234926259444,0.0420231173475588,0.0,1.0,15
Wine_Red,ADASYN,XGB,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,15
Wine_Red,ADASYN,XGB,rare_recall,0.0,0.0,0.0,1.0,15
Wine_Red,SG-KDE,XGB,f1_macro,0.37913633175555367,0.039115685215482976,0.013219620664433607,0.5614013671875,0
Wine_Red,SG-KDE,XGB,gmean,0.07695274419885442,0.123876702930607,0.005792419002013521,0.00042724609375,0
Wine_Red,SG-KDE,XGB,gmean_strict,0.05177807530462029,0.13201458836505642,0.0,0.17971249487899976,0
Wine_Red,SG-KDE,XGB,mcc,0.4575614933436728,0.04203401706152057,-0.03922406569794318,0.0006103515625,0
Wine_Red,SG-KDE,XGB,min_recall,0.16666666666666663,0.12360330811826105,0.125,0.007058332048528101,0
Wine_Red,SG-KDE,XGB,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,GS-0.85,XGB,f1_macro,0.3768584979239174,0.040800196734985625,0.006388617172018718,0.638671875,0
Wine_Red,GS-0.85,XGB,gmean,0.05519353016765245,0.0891618072970837,0.005731179351094376,0.00030517578125,0
Wine_Red,GS-0.85,XGB,gmean_strict,0.02523352447060815,0.09441520322979198,0.0,0.31731050786291415,0
Wine_Red,GS-0.85,XGB,mcc,0.4502082309189113,0.048514320585125864,-0.038829716920841695,0.00115966796875,0
Wine_Red,GS-0.85,XGB,min_recall,0.17777777777777776,0.12951714696527517,0.125,0.007109552693052261,0
Wine_Red,GS-0.85,XGB,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Sgeo,XGB,f1_macro,0.38123534577180046,0.018713046806748648,0.014754288866479282,0.389404296875,0
Wine_Red,Sgeo,XGB,gmean,0.047089929498729984,0.0119532689216777,0.042711608978777384,6.103515625e-05,0
Wine_Red,Sgeo,XGB,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Sgeo,XGB,mcc,0.45026674725741545,0.03085078660872341,-0.038309763362174065,0.0001220703125,0
Wine_Red,Sgeo,XGB,min_recall,0.1611111111111111,0.08031573497111644,0.125,0.0043760114523359135,0
Wine_Red,Sgeo,XGB,rare_recall,0.03333333333333333,0.12472191289246473,0.0,0.31731050786291415,0
Wine_Red,CC-SG,XGB,f1_macro,0.37825235070671503,0.0408245354409069,0.01587099803520431,0.638671875,0
Wine_Red,CC-SG,XGB,gmean,0.04665265490407943,0.09573757942306528,0.005748859550819604,0.0008544921875,0
Wine_Red,CC-SG,XGB,gmean_strict,0.026403733554121307,0.09879372469118897,0.0,0.31731050786291415,0
Wine_Red,CC-SG,XGB,mcc,0.45798631783205995,0.05218216478742891,-0.032123856937884,0.00152587890625,0
Wine_Red,CC-SG,XGB,min_recall,0.13055555555555556,0.11269701541722663,0.0,0.0157641152996124,0
Wine_Red,CC-SG,XGB,rare_recall,0.06666666666666667,0.16996731711975951,0.0,0.15729920705028502,0
Wine_Red,Base,LR,f1_macro,0.2941394090001722,0.031161310678790508,0.0,1.0,0
Wine_Red,Base,LR,gmean,0.0025651914417680966,0.002310522018329184,0.0,1.0,0
Wine_Red,Base,LR,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,LR,mcc,0.34554561343235657,0.03358716102314719,0.0,1.0,0
Wine_Red,Base,LR,min_recall,0.03333333333333333,0.08498365855987974,0.0,1.0,0
Wine_Red,Base,LR,rare_recall,0.06666666666666667,0.1699673171197595,0.0,1.0,0
Wine_Red,SMOTE,LR,f1_macro,0.28991192677104893,0.024014602975757214,-0.012288738667442844,0.52447509765625,0
Wine_Red,SMOTE,LR,gmean,0.2896034109109163,0.20471218658087653,0.427015510205088,6.103515625e-05,0
Wine_Red,SMOTE,LR,gmean_strict,0.27111244642535337,0.22672936218327755,0.4277895516524337,0.007685794055213263,0
Wine_Red,SMOTE,LR,mcc,0.25036065478962216,0.026064561125998614,-0.09602348102928607,6.103515625e-05,0
Wine_Red,SMOTE,LR,min_recall,0.4194444444444444,0.21487866228681907,0.375,0.0006386112041971715,0
Wine_Red,SMOTE,LR,rare_recall,0.36666666666666664,0.339934634239519,0.0,0.013874405883025447,0
Wine_Red,Borderline,LR,f1_macro,0.2985181718444107,0.028825591669145285,0.0013878384490113027,0.638671875,0
Wine_Red,Borderline,LR,gmean,0.2022891800505687,0.19822894217910647,0.052642984122027975,6.103515625e-05,0
Wine_Red,Borderline,LR,gmean_strict,0.17655274841815935,0.2186761702284614,0.0,0.027707849358079864,0
Wine_Red,Borderline,LR,mcc,0.2693111520041216,0.027073486799166723,-0.08892860247088313,6.103515625e-05,0
Wine_Red,Borderline,LR,min_recall,0.325,0.19495963494851762,0.25,0.0009618222539686676,0
Wine_Red,Borderline,LR,rare_recall,0.2,0.24494897427831783,0.0,0.0455002638963584,0
Wine_Red,ADASYN,LR,f1_macro,0.2941394090001722,0.031161310678790508,0.0,1.0,15
Wine_Red,ADASYN,LR,gmean,0.0025651914417680966,0.002310522018329184,0.0,1.0,15
