dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,Base,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,0
Wine_Red,Base,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,0
Wine_Red,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,0
Wine_Red,Base,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,GS-0.85,RF,f1_macro,0.3852024597735231,0.03457449692135263,0.029821719211963138,0.083251953125,0
Wine_Red,GS-0.85,RF,gmean,0.12717161129726465,0.17566930833443295,0.04922766385028107,6.103515625e-05,0
Wine_Red,GS-0.85,RF,gmean_strict,0.09518959261235763,0.1907150320500447,0.0,0.10880943004054569,0
Wine_Red,GS-0.85,RF,mcc,0.459946038111229,0.04356472465017347,-0.045920827698089806,6.103515625e-05,0
Wine_Red,GS-0.85,RF,min_recall,0.19722222222222224,0.15772299518420432,0.125,0.007264382942252025,0
Wine_Red,GS-0.85,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Sgeo,RF,f1_macro,0.3801286208814467,0.0318896540654552,0.008313200816292499,0.207763671875,0
Wine_Red,Sgeo,RF,gmean,0.09805650108310325,0.14088929973834877,0.05183388185296406,6.103515625e-05,0
Wine_Red,Sgeo,RF,gmean_strict,0.060509503242365544,0.15429506438968715,0.0,0.17971249487899976,0
Wine_Red,Sgeo,RF,mcc,0.45261269157304707,0.03704724060626533,-0.056617886637926884,6.103515625e-05,0
Wine_Red,Sgeo,RF,min_recall,0.16944444444444443,0.12310288781200188,0.125,0.010909498364269283,0
Wine_Red,Sgeo,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Sgate-t50,RF,f1_macro,0.400553647470654,0.04497208513504008,0.02011657543568729,0.01507568359375,0
Wine_Red,Sgate-t50,RF,gmean,0.09851647263721423,0.14835869066238264,0.04446407485318394,6.103515625e-05,0
Wine_Red,Sgate-t50,RF,gmean_strict,0.06304698663716361,0.16113601584782253,0.0,0.17971249487899976,0
Wine_Red,Sgate-t50,RF,mcc,0.472555736817699,0.0361987966456361,-0.03170343483292337,0.00018310546875,0
Wine_Red,Sgate-t50,RF,min_recall,0.16666666666666663,0.1536590742882148,0.0,0.01755232593841686,0
Wine_Red,Sgate-t50,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,Sgate-t35,RF,f1_macro,0.4004181171810544,0.034383500651133304,0.028402276382983094,0.00836181640625,0
Wine_Red,Sgate-t35,RF,gmean,0.09507737039851706,0.14455128389976332,0.04795153317301264,6.103515625e-05,0
Wine_Red,Sgate-t35,RF,gmean_strict,0.06130578595115218,0.15637105763449127,0.0,0.17971249487899976,0
Wine_Red,Sgate-t35,RF,mcc,0.4725221760455231,0.03325782541689146,-0.02677779060942659,0.00030517578125,0
Wine_Red,Sgate-t35,RF,min_recall,0.1583333333333333,0.11303883305208781,0.125,0.011109224550098225,0
Wine_Red,Sgate-t35,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Sgate-t25,RF,f1_macro,0.4061058056063913,0.035801780129880764,0.04619828664356257,0.00537109375,0
Wine_Red,Sgate-t25,RF,gmean,0.10543022598475224,0.15006080612458603,0.052857850809904204,6.103515625e-05,0
Wine_Red,Sgate-t25,RF,gmean_strict,0.06473194792406209,0.1650995187697946,0.0,0.17971249487899976,0
Wine_Red,Sgate-t25,RF,mcc,0.47848030845947986,0.03420149873520867,-0.029528739152371197,0.00201416015625,0
Wine_Red,Sgate-t25,RF,min_recall,0.17777777777777776,0.11228546073004297,0.125,0.007212578345957219,0
Wine_Red,Sgate-t25,RF,rare_recall,0.13333333333333333,0.22110831935702668,0.0,0.0455002638963584,0
Wine_Red,Sgate-t15,RF,f1_macro,0.392801667911228,0.03211479552661355,0.03013829602833268,0.0301513671875,0
Wine_Red,Sgate-t15,RF,gmean,0.09225669311618981,0.1397022175222331,0.045208305467715516,6.103515625e-05,0
Wine_Red,Sgate-t15,RF,gmean_strict,0.059313350998008635,0.1512252997147128,0.0,0.17971249487899976,0
Wine_Red,Sgate-t15,RF,mcc,0.47159678125421434,0.04128516741783413,-0.0363313528242174,0.0001220703125,0
Wine_Red,Sgate-t15,RF,min_recall,0.14166666666666666,0.11666666666666665,0.0,0.026856695507524404,0
Wine_Red,Sgate-t15,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,Sgeo-deep,RF,f1_macro,0.38584500919891596,0.032257519232015454,0.017489220534231353,0.072998046875,0
Wine_Red,Sgeo-deep,RF,gmean,0.1352161550702326,0.18092644079012227,0.05089664344252929,6.103515625e-05,0
Wine_Red,Sgeo-deep,RF,gmean_strict,0.0990107694025998,0.19827672543607497,0.0,0.10880943004054569,0
Wine_Red,Sgeo-deep,RF,mcc,0.4469732703255271,0.03082185982790159,-0.057444786907371925,6.103515625e-05,0
Wine_Red,Sgeo-deep,RF,min_recall,0.2111111111111111,0.18350160627681936,0.125,0.00736857462637493,0
Wine_Red,Sgeo-deep,RF,rare_recall,0.16666666666666666,0.2981423969999719,0.0,0.05878172135535886,0
Wine_Red,SgateD-t35,RF,f1_macro,0.40480249208392205,0.03942079814540991,0.04776396015986539,0.00537109375,0
Wine_Red,SgateD-t35,RF,gmean,0.10410180522200849,0.15093640888820148,0.05086131189027038,6.103515625e-05,0
Wine_Red,SgateD-t35,RF,gmean_strict,0.06474426783904254,0.1654758426260065,0.0,0.17971249487899976,0
Wine_Red,SgateD-t35,RF,mcc,0.471300364398364,0.035119578696204495,-0.02563510332871266,0.0006103515625,0
Wine_Red,SgateD-t35,RF,min_recall,0.1861111111111111,0.14740554623801777,0.125,0.007264382942252025,0
Wine_Red,SgateD-t35,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,SgateD-t25,RF,f1_macro,0.39009669863445645,0.03770176780421711,0.03519440771346083,0.02557373046875,0
Wine_Red,SgateD-t25,RF,gmean,0.06540039023109842,0.10140544227037522,0.04923728308682096,6.103515625e-05,0
Wine_Red,SgateD-t25,RF,gmean_strict,0.029100192160752787,0.10888294895482181,0.0,0.31731050786291415,0
Wine_Red,SgateD-t25,RF,mcc,0.4674645780770511,0.04717630463345288,-0.04319492777479561,0.00152587890625,0
Wine_Red,SgateD-t25,RF,min_recall,0.13333333333333333,0.10341394704992381,0.0,0.025596805385948558,0
Wine_Red,SgateD-t25,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_White,Base,RF,f1_macro,0.416745978236056,0.017867652323738464,0.0,1.0,0
Wine_White,Base,RF,gmean,0.011337535517248021,0.000751009525176913,0.0,1.0,0
Wine_White,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,mcc,0.5213086992904172,0.018528959164411538,0.0,1.0,0
Wine_White,Base,RF,min_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,GS-0.85,RF,f1_macro,0.40419389785699517,0.024085459017040088,-0.017940333892634053,0.03533935546875,0
Wine_White,GS-0.85,RF,gmean,0.08803203114818152,0.1413421748899938,0.06686141311434823,6.103515625e-05,0
Wine_White,GS-0.85,RF,gmean_strict,0.04023394413351284,0.1505416342662084,0.0,0.31731050786291415,0
Wine_White,GS-0.85,RF,mcc,0.4720041562352288,0.01912498462920299,-0.04964119985762461,6.103515625e-05,0
Wine_White,GS-0.85,RF,min_recall,0.125,0.18257418583505536,0.125,0.005000169055962822,0
Wine_White,GS-0.85,RF,rare_recall,0.06666666666666667,0.24944382578492943,0.0,0.31731050786291415,0
Wine_White,Sgeo,RF,f1_macro,0.4118631441652526,0.043209911057906045,-0.021400887829883586,0.22930908203125,0
Wine_White,Sgeo,RF,gmean,0.095565036230687,0.14602473815715414,0.06700857829199437,6.103515625e-05,0
Wine_White,Sgeo,RF,gmean_strict,0.04191729426751979,0.15684015372964244,0.0,0.31731050786291415,0
Wine_White,Sgeo,RF,mcc,0.4697778784445319,0.01815783954145485,-0.0527419910333532,6.103515625e-05,0
Wine_White,Sgeo,RF,min_recall,0.15833333333333333,0.20138409955990955,0.125,0.003603793264077752,0
Wine_White,Sgeo,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,Sgate-t50,RF,f1_macro,0.4265382412533453,0.024331307681439162,0.011262302834707694,0.389404296875,0
Wine_White,Sgate-t50,RF,gmean,0.09565503059956458,0.1317478180898495,0.06767591474371776,6.103515625e-05,0
Wine_White,Sgate-t50,RF,gmean_strict,0.03840797839328248,0.14370949606627934,0.0,0.31731050786291415,0
Wine_White,Sgate-t50,RF,mcc,0.49221572443326667,0.01665326581306648,-0.029071425823487373,6.103515625e-05,0
Wine_White,Sgate-t50,RF,min_recall,0.14166666666666666,0.15046225071056488,0.125,0.0021721536873098523,0
Wine_White,Sgate-t50,RF,rare_recall,0.06666666666666667,0.24944382578492946,0.0,0.31731050786291415,0
Wine_White,Sgate-t35,RF,f1_macro,0.41472351724778905,0.015154323413544009,-0.006570092829385199,0.76153564453125,0
Wine_White,Sgate-t35,RF,gmean,0.050186353206158815,0.03458591941390486,0.06612960920880127,6.103515625e-05,0
Wine_White,Sgate-t35,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Sgate-t35,RF,mcc,0.4867928813856229,0.016479293579433903,-0.03121984000853445,6.103515625e-05,0
Wine_White,Sgate-t35,RF,min_recall,0.10833333333333334,0.13591255358583407,0.125,0.009653874815692721,0
Wine_White,Sgate-t35,RF,rare_recall,0.06666666666666667,0.24944382578492946,0.0,0.31731050786291415,0
Wine_White,Sgate-t25,RF,f1_macro,0.4121781625164832,0.020541943057901683,-0.01589270562259726,0.207763671875,0
Wine_White,Sgate-t25,RF,gmean,0.04088105321853144,0.03377803671936598,0.002102591517229746,6.103515625e-05,0
Wine_White,Sgate-t25,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Sgate-t25,RF,mcc,0.48110198285402944,0.01772499762167018,-0.04442740370589349,0.0001220703125,0
Wine_White,Sgate-t25,RF,min_recall,0.08333333333333333,0.13437096247164249,0.0,0.02354410241255278,0
Wine_White,Sgate-t25,RF,rare_recall,0.06666666666666667,0.24944382578492946,0.0,0.31731050786291415,0
Wine_White,Sgate-t15,RF,f1_macro,0.4079738171364432,0.01593294781962059,-0.016380760487984813,0.1353759765625,0
Wine_White,Sgate-t15,RF,gmean,0.04475573395618459,0.03350271676902101,0.0023986565380568047,6.103515625e-05,0
Wine_White,Sgate-t15,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Sgate-t15,RF,mcc,0.47929668594047603,0.01658401666008212,-0.043989306821410945,6.103515625e-05,0
Wine_White,Sgate-t15,RF,min_recall,0.08333333333333333,0.12638125740085918,0.0,0.011412036386001648,0
Wine_White,Sgate-t15,RF,rare_recall,0.06666666666666667,0.24944382578492946,0.0,0.31731050786291415,0
Wine_White,Sgeo-deep,RF,f1_macro,0.39943992852688054,0.027069252403924587,-0.02378598285420691,0.05535888671875,0
Wine_White,Sgeo-deep,RF,gmean,0.0954368810160526,0.14446182001061145,0.06809398971114093,6.103515625e-05,0
Wine_White,Sgeo-deep,RF,gmean_strict,0.04150369538079806,0.15529260839997858,0.0,0.31731050786291415,0
Wine_White,Sgeo-deep,RF,mcc,0.4615271871911163,0.01805833102122491,-0.05682658556538128,6.103515625e-05,0
Wine_White,Sgeo-deep,RF,min_recall,0.16666666666666666,0.20241596335818535,0.125,0.004092057759994976,0
Wine_White,Sgeo-deep,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,SgateD-t35,RF,f1_macro,0.4185981326954003,0.023524673737986446,-0.01333895080075459,0.7197265625,0
Wine_White,SgateD-t35,RF,gmean,0.04988559791638701,0.034334635257319876,0.06528786260639513,6.103515625e-05,0
Wine_White,SgateD-t35,RF,gmean_strict,0.0,0.0,0.0,1.0,0
